"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 Alta Floresta D'Oeste";248;180;44;11;-;-;-;-;-;-;-;4;487
"110037 Alto Alegre dos Parecis";1;2;-;1;-;-;-;-;-;1;1;1;7
"110040 Alto Paraíso";1;2;6;2;-;-;-;-;-;-;-;1;12
"110034 Alvorada D'Oeste";17;24;26;10;-;-;-;-;-;-;2;3;82
"110002 Ariquemes";13;5;13;9;5;1;2;1;1;2;8;2;62
"110045 Buritis";55;85;52;27;20;2;2;-;1;1;3;15;263
"110003 Cabixi";30;13;3;1;-;-;-;-;-;-;-;4;51
"110060 Cacaulândia";-;-;-;2;1;-;-;-;-;-;1;9;13
"110004 Cacoal";85;87;32;21;4;3;-;-;1;3;2;7;245
"110070 Campo Novo de Rondônia";4;5;2;1;-;1;-;-;-;-;2;2;17
"110080 Candeias do Jamari";21;20;5;12;5;-;-;-;-;1;3;12;79
"110090 Castanheiras";2;7;8;7;3;-;-;1;-;-;-;-;28
"110005 Cerejeiras";111;141;63;5;1;-;-;1;1;2;2;20;347
"110092 Chupinguaia";12;11;5;1;-;-;1;-;-;-;-;1;31
"110006 Colorado do Oeste";11;12;5;1;1;-;1;1;-;-;-;2;34
"110007 Corumbiara";-;2;6;3;-;-;-;-;-;-;-;1;12
"110008 Costa Marques";7;28;2;-;-;-;-;-;-;-;-;-;37
"110094 Cujubim";2;-;5;4;-;-;-;-;-;1;18;34;64
"110009 Espigão D'Oeste";273;111;40;33;14;7;4;1;1;-;4;23;511
"110100 Governador Jorge Teixeira";1;10;3;-;-;-;-;-;-;-;-;-;14
"110010 Guajará-Mirim";14;64;81;54;38;11;6;-;3;2;7;3;283
"110110 Itapuã do Oeste";3;5;11;7;4;1;8;-;-;-;-;-;39
"110011 Jaru";6;21;23;25;2;4;9;-;-;-;11;15;116
"110012 Ji-Paraná";203;418;212;53;2;3;2;2;-;-;7;24;926
"110013 Machadinho D'Oeste";21;42;34;4;5;4;-;1;2;5;128;216;462
"110120 Ministro Andreazza";5;11;4;1;-;-;-;-;-;1;1;5;28
"110130 Mirante da Serra";3;2;-;4;-;-;3;-;-;-;-;-;12
"110140 Monte Negro";3;6;5;2;1;-;-;-;-;-;2;11;30
"110014 Nova Brasilândia D'Oeste";105;112;70;28;12;3;1;1;1;3;2;9;347
"110033 Nova Mamoré";13;15;35;48;32;9;5;-;-;-;-;2;159
"110143 Nova União";1;2;1;3;2;3;-;-;-;-;-;-;12
"110050 Novo Horizonte do Oeste";5;49;8;1;-;-;-;-;-;-;-;2;65
"110015 Ouro Preto do Oeste";17;29;37;14;-;-;1;-;1;3;1;3;106
"110145 Parecis";25;14;5;7;1;-;-;-;-;1;-;11;64
"110018 Pimenta Bueno";123;146;120;90;18;7;1;1;1;4;7;6;524
"110146 Pimenteiras do Oeste";8;9;21;2;-;-;-;-;-;-;-;1;41
"110020 Porto Velho";90;305;217;119;47;35;44;13;30;24;31;43;998
"110025 Presidente Médici";6;15;16;52;8;3;-;-;2;-;-;-;102
"110147 Primavera de Rondônia";3;4;-;-;-;-;-;-;-;-;-;-;7
"110026 Rio Crespo";7;10;13;12;3;-;-;-;-;-;-;-;45
"110028 Rolim de Moura";184;60;77;13;2;3;-;-;1;2;1;16;359
"110029 Santa Luzia D'Oeste";36;8;4;1;-;-;-;-;-;-;-;5;54
"110148 São Felipe D'Oeste";13;14;9;7;4;2;-;-;-;1;-;-;50
"110149 São Francisco do Guaporé";18;11;23;4;7;3;-;-;-;-;1;5;72
"110032 São Miguel do Guaporé";22;15;4;1;-;-;-;-;-;-;-;2;44
"110150 Seringueiras";22;24;24;-;-;-;-;-;-;-;-;1;71
"110155 Teixeirópolis";-;1;1;2;-;-;-;-;-;-;1;-;5
"110160 Theobroma";2;4;1;5;-;-;-;1;-;-;1;7;21
"110170 Urupá";3;6;8;1;1;1;1;1;-;-;-;1;23
"110175 Vale do Anari";8;3;7;-;-;-;1;-;-;-;1;3;23
"110180 Vale do Paraíso";3;24;35;12;-;-;-;-;-;-;-;-;74
"110030 Vilhena";85;122;67;28;6;1;3;-;-;1;1;8;322
"Total";1951;2316;1493;751;249;107;95;25;46;58;249;540;7880