Localidade	"Número de moradias permanentes
(habitações) (IBGE)"	"Número de moradias permanentes em áreas urbanas
(habitações) (IBGE)"	"Número de pessoas por moradia
(pessoas por moradia) (IBGE)"	"Número de pessoas por moradia (área urbana)
(pessoas por moradia) (IBGE)"	"PIB, em R$ milhões a preços de 2017
(R$ milhões a preços de 2019) (IBGE)"	"PIB per capita, em R$ a preços de 2017
(R$ por habitante a preços de 2019) (IBGE)"	"Área do município
(km²) (IBGE)"	"Densidade demográfica (pessoas por km²)
(Pessoas por km²) (IBGE)"
Ariquemes (Município) (110002)	27.955	23.707	3,28	3,27	2.491,390	27.207,44	4.426,570	20,69
Cacoal (Município) (110004)	24.884	20.033	3,17	3,11	1.898,870	24.048,80	3.792,950	20,82
Jaru (Município) (110011)	16.364	11.316	3,17	3,10	1.299,510	25.046,86	2.944,130	17,62
Ji-Paraná (Município) (110012)	36.586	33.305	3,21	3,17	3.101,210	26.424,06	6.896,650	17,02
Porto Velho (Município) (110020)	122.777	113.194	3,55	3,51	16.800,310	38.556,52	34.090,960	12,78
Rolim de Moura (Município) (110028)	16.256	13.424	3,13	3,10	1.140,660	22.410,36	1.457,890	34,91
Vilhena (Município) (110030)	24.237	23.078	3,22	3,20	2.249,460	28.862,50	11.699,150	6,66
Cruzeiro do Sul (Município) (120020)	19.318	14.114	4,10	3,95	1.143,950	14.448,55	8.779,400	9,02
Rio Branco (Município) (120040)	97.876	90.032	3,50	3,49	8.320,310	24.307,14	8.834,940	38,74
Careiro da Várzea (Município) (130115)	5.916	270	4,13	3,78	362,140	14.816,37	2.627,470	9,30
Coari (Município) (130120)	15.662	10.854	4,89	4,62	4.953,150	64.623,72	57.970,770	1,32
Humaitá (Município) (130170)	10.131	7.317	4,45	4,25	435,440	9.653,97	33.111,160	1,36
Iranduba (Município) (130185)	10.101	7.099	4,10	4,14	577,230	13.951,45	2.216,820	18,66
Itacoatiara (Município) (130190)	20.484	13.923	4,29	4,23	1.694,280	19.259,69	8.891,910	9,89
Manacapuru (Município) (130250)	18.719	13.538	4,60	4,49	1.341,520	15.584,96	7.336,580	11,73
Manaus (Município) (130260)	483.012	480.166	3,79	3,80	83.748,720	45.703,79	11.401,090	160,72
Manicoré (Município) (130270)	9.838	4.507	4,85	4,58	498,010	10.438,90	48.315,020	0,99
Maués (Município) (130290)	10.318	5.350	5,15	4,91	455,460	8.565,61	39.991,070	1,33
Novo Airão (Município) (130320)	3.267	2.181	4,63	4,47	110,220	7.292,85	37.805,260	0,40
Parintins (Município) (130340)	21.415	15.001	4,81	4,70	1.161,920	11.286,74	5.956,370	17,28
Presidente Figueiredo (Município) (130353)	7.441	3.506	3,75	3,81	843,170	30.192,88	25.412,270	1,10
Rio Preto da Eva (Município) (130356)	6.296	3.004	4,18	4,16	405,280	15.384,13	5.815,620	4,53
Tabatinga (Município) (130406)	10.332	7.954	5,17	4,67	443,660	8.312,27	3.266,060	16,34
Tefé (Município) (130420)	12.533	10.416	4,88	4,79	814,060	13.296,65	23.692,220	2,58
Boa Vista (Município) (140010)	79.091	77.838	3,68	3,65	8.355,300	28.737,95	5.687,040	51,12
Abaetetuba (Município) (150010)	32.199	19.907	4,43	4,22	1.070,650	7.498,35	1.610,400	88,66
Acará (Município) (150020)	12.274	3.155	4,37	4,01	759,710	14.152,54	4.343,810	12,36
Alenquer (Município) (150040)	12.576	6.977	4,21	4,00	544,030	10.263,94	23.645,450	2,24
Altamira (Município) (150060)	27.537	23.689	3,66	3,61	1.942,850	19.286,51	159.533,330	0,63
Ananindeua (Município) (150080)	130.563	131.232	3,66	3,63	6.985,200	14.613,42	190,450	2.509,83
Barcarena (Município) (150130)	25.821	9.267	3,98	4,03	3.710,790	36.143,60	1.310,590	78,34
Belém (Município) (150140)	376.385	373.546	3,73	3,72	32.316,130	23.049,10	1.059,460	1.323,37
Benevides (Município) (150150)	14.211	7.917	3,72	3,74	1.007,250	19.044,91	187,830	281,58
Bragança (Município) (150170)	27.245	18.015	4,21	4,08	924,500	8.058,79	2.091,930	54,84
Breu Branco (Município) (150178)	12.720	7.369	4,25	4,09	928,160	17.177,89	3.941,910	13,71
Breves (Município) (150180)	18.267	10.114	5,14	4,65	641,980	6.841,61	9.563,010	9,81
Cametá (Município) (150210)	24.509	11.483	5,01	4,67	837,970	6.830,36	3.081,370	39,81
Capanema (Município) (150220)	17.539	14.326	3,66	3,57	1.012,000	15.778,05	614,690	104,34
Capitão Poço (Município) (150230)	13.489	5.997	3,86	3,59	384,830	7.392,44	2.899,550	17,95
Castanhal (Município) (150240)	47.221	42.329	3,73	3,69	2.895,650	16.441,75	1.028,890	171,17
Dom Eliseu (Município) (150293)	13.589	8.925	3,84	3,71	606,970	11.622,45	5.268,820	9,91
Igarapé-Miri (Município) (150330)	12.491	6.101	4,68	4,33	412,270	7.047,52	1.996,790	29,30
Ipixuna do Pará (Município) (150345)	11.822	3.049	4,51	4,17	752,400	14.111,63	5.215,560	10,22
Itaituba (Município) (150360)	24.825	17.998	3,94	3,94	1.403,120	14.360,91	62.042,470	1,57
Itupiranga (Município) (150370)	13.129	5.180	3,91	3,96	410,090	7.987,62	7.880,110	6,52
Jacundá (Município) (150380)	13.085	11.686	3,99	3,97	454,560	8.709,55	2.008,320	25,99
Juruti (Município) (150390)	9.867	3.549	4,90	4,58	856,870	17.738,47	8.305,130	5,82
Marabá (Município) (150420)	62.960	51.011	3,79	3,73	5.765,870	24.154,51	15.128,060	15,78
Marituba (Município) (150442)	28.427	28.311	3,90	3,87	1.250,740	11.283,99	103,340	1.072,56
Moju (Município) (150470)	16.257	6.120	4,39	4,19	726,380	10.183,54	9.094,140	7,84
Monte Alegre (Município) (150480)	14.282	6.599	3,90	3,73	559,750	10.060,99	18.152,560	3,06
Novo Repartimento (Município) (150506)	15.782	7.268	4,03	3,94	618,970	9.731,64	15.398,720	4,13
Óbidos (Município) (150510)	11.766	6.346	4,21	4,03	486,770	9.823,35	28.021,440	1,77
Oriximiná (Município) (150530)	14.214	9.217	4,50	4,43	2.459,530	38.487,32	107.603,660	0,59
Paragominas (Município) (150550)	25.933	20.772	3,84	3,75	2.542,220	25.560,19	19.342,250	5,14
Parauapebas (Município) (150553)	44.372	40.701	3,61	3,55	31.693,450	197.800,96	6.886,210	23,27
Portel (Município) (150580)	10.026	5.216	5,31	4,86	437,930	8.222,94	25.384,960	2,10
Redenção (Município) (150613)	21.049	19.642	3,63	3,61	1.290,650	16.870,96	3.823,810	20,01
Rondon do Pará (Município) (150618)	13.027	9.812	3,65	3,58	587,650	12.369,18	8.246,390	5,76
Santa Bárbara do Pará (Município) (150635)	4.635	1.455	3,79	3,85	129,920	7.388,28	278,150	63,22
Santa Izabel do Pará (Município) (150650)	15.875	12.192	3,82	3,60	653,890	10.770,12	717,660	84,60
Santana do Araguaia (Município) (150670)	14.532	7.609	4,00	4,03	568,260	9.786,25	11.591,460	5,01
Santarém (Município) (150680)	72.721	55.060	4,08	3,95	3.924,110	13.210,73	17.898,390	16,60
São Félix do Xingu (Município) (150730)	23.400	11.879	4,09	3,98	877,560	9.170,46	84.212,850	1,14
São Miguel do Guamá (Município) (150760)	13.146	8.545	3,98	3,79	553,320	10.569,61	1.110,180	47,15
Tailândia (Município) (150795)	17.137	12.728	4,81	4,80	742,480	9.006,95	4.430,220	18,61
Tomé-Açu (Município) (150800)	14.163	8.099	4,04	3,95	598,950	10.466,03	5.145,360	11,12
Tucuruí (Município) (150810)	24.482	23.555	4,04	4,00	4.222,190	42.683,30	2.086,190	47,42
Ulianópolis (Município) (150812)	8.901	6.058	5,08	4,91	1.212,180	26.824,10	5.088,470	8,88
Vigia (Município) (150820)	12.249	8.181	3,96	4,00	328,510	6.775,89	539,080	89,93
Viseu (Município) (150830)	12.850	4.251	4,45	4,36	425,420	7.444,26	4.915,070	11,63
Macapá (Município) (160030)	99.026	94.820	4,11	4,11	9.346,240	22.962,43	6.503,460	62,59
Santana (Município) (160060)	23.198	22.724	4,43	4,43	1.922,200	18.687,31	1.541,220	66,74
Araguaína (Município) (170210)	45.269	43.133	3,39	3,38	3.227,300	21.045,22	4.000,420	38,33
Gurupi (Município) (170950)	24.015	23.485	3,23	3,23	1.900,130	24.468,82	1.836,090	42,29
Paraíso do Tocantins (Município) (171610)	13.877	13.251	3,25	3,25	970,390	21.538,41	1.268,060	35,53
Porto Nacional (Município) (171820)	14.203	12.204	3,48	3,50	1.055,210	21.332,46	4.449,920	11,12
Palmas (Município) (172100)	71.595	69.672	3,29	3,28	6.646,950	28.246,90	2.218,940	106,05
Açailândia (Município) (210005)	28.271	21.317	3,72	3,71	1.686,960	16.027,37	5.806,440	18,13
Alcântara (Município) (210020)	6.240	1.740	3,46	3,63	120,140	5.571,43	1.457,920	14,79
Bacabal (Município) (210120)	26.989	21.400	3,73	3,66	979,460	9.734,73	1.683,070	59,78
Balsas (Município) (210140)	21.889	19.310	3,90	3,85	2.320,690	27.199,14	13.141,760	6,49
Barra do Corda (Município) (210160)	22.244	14.262	3,75	3,65	575,320	6.893,87	5.190,340	16,08
Barreirinhas (Município) (210170)	12.557	5.377	4,47	4,19	361,520	6.441,57	3.026,540	18,54
Buriticupu (Município) (210232)	15.416	8.673	4,30	4,20	465,410	7.017,01	2.545,440	26,06
Caxias (Município) (210300)	41.283	31.861	3,79	3,75	1.640,020	10.490,95	5.196,770	30,08
Chapadinha (Município) (210320)	18.133	13.431	4,10	3,99	582,560	7.843,46	3.247,390	22,87
Codó (Município) (210330)	30.396	21.063	3,90	3,87	975,180	8.224,62	4.361,340	27,19
Coroatá (Município) (210360)	16.364	11.794	3,80	3,68	380,540	6.119,00	2.263,770	27,47
Grajaú (Município) (210480)	15.347	9.433	4,12	4,00	574,180	9.084,71	8.863,570	7,13
Imperatriz (Município) (210530)	70.503	67.403	3,53	3,50	4.919,920	19.774,11	1.368,990	181,74
Itapecuru Mirim (Município) (210540)	16.141	9.182	3,90	3,83	494,470	7.845,68	1.471,440	42,83
Paço do Lumiar (Município) (210750)	27.862	21.353	3,87	3,78	660,620	6.130,25	125,260	860,33
Pinheiro (Município) (210860)	20.053	12.231	3,93	3,84	652,540	8.272,94	1.512,970	52,13
Raposa (Município) (210945)	6.729	4.244	4,02	4,04	168,540	6.233,76	66,400	407,18
Santa Inês (Município) (210990)	20.836	19.896	3,74	3,71	1.045,270	13.397,47	786,690	99,18
Santa Luzia (Município) (211000)	17.964	6.650	4,15	3,90	633,650	8.505,31	4.837,040	15,40
São José de Ribamar (Município) (211120)	43.722	9.087	3,78	4,21	1.408,110	8.512,41	385,780	428,79
São Luís (Município) (211130)	283.547	268.012	3,62	3,62	30.093,220	29.289,80	834,830	1.230,71
Timon (Município) (211220)	41.612	36.313	3,78	3,77	1.492,070	9.477,16	1.764,610	89,22
Tutóia (Município) (211250)	11.671	4.332	4,60	4,39	296,120	5.511,79	1.651,650	32,53
Vargem Grande (Município) (211270)	11.403	6.543	4,43	4,17	265,650	5.256,09	1.957,750	25,82
Viana (Município) (211280)	12.675	7.022	3,94	3,86	308,860	6.191,71	1.168,440	42,69
Zé Doca (Município) (211400)	12.209	7.872	4,23	4,03	420,440	8.145,61	2.140,110	24,12
Altos (Município) (220040)	10.624	7.625	3,67	3,61	268,840	6.887,81	957,650	40,76
Beneditinos (Município) (220160)	2.838	1.816	3,50	3,45	55,240	5.564,13	788,580	12,59
Coivaras (Município) (220273)	1.044	347	3,68	3,41	23,590	6.140,39	485,500	7,91
Curralinhos (Município) (220325)	1.129	366	3,74	3,67	21,230	5.024,03	345,850	12,22
Demerval Lobão (Município) (220330)	3.887	3.207	3,43	3,41	76,760	5.754,46	216,810	61,52
Floriano (Município) (220390)	16.534	14.402	3,50	3,48	968,140	16.712,76	3.409,650	16,99
José de Freitas (Município) (220550)	9.457	5.564	3,96	3,92	285,410	7.629,33	1.538,170	24,32
Lagoa Alegre (Município) (220555)	2.007	777	4,03	3,96	45,150	5.575,92	394,660	20,52
Lagoa do Piauí (Município) (220558)	1.089	486	3,57	3,47	85,320	21.922,10	426,630	9,12
Miguel Leão (Município) (220630)	343	233	3,63	3,67	12,200	9.796,69	93,520	13,31
Monsenhor Gil (Município) (220640)	2.921	1.548	3,54	3,43	107,550	10.406,12	582,550	17,74
Nazária (Município) (220672)	2.254	467	3,62	3,57	50,550	6.202,73	363,590	22,41
Parnaíba (Município) (220770)	39.622	37.575	3,70	3,68	1.650,090	11.245,31	434,230	337,92
Pau D'Arco do Piauí (Município) (220779)	1.055	171	3,61	3,30	20,270	5.322,88	430,820	8,84
Picos (Município) (220800)	21.735	17.382	3,45	3,43	1.188,860	15.858,42	577,300	129,86
Piripiri (Município) (220840)	17.400	12.806	3,56	3,49	541,180	8.733,89	1.408,930	43,98
Teresina (Município) (221100)	226.816	214.546	3,63	3,61	18.361,300	22.327,47	1.391,980	590,79
União (Município) (221110)	11.092	5.549	3,87	3,80	351,420	8.196,80	1.173,450	36,54
Acaraú (Município) (230020)	15.111	7.634	3,85	3,74	585,440	10.057,34	842,560	69,09
Acopiara (Município) (230030)	15.478	8.124	3,33	3,12	388,060	7.539,72	2.265,350	22,72
Aquiraz (Município) (230100)	20.408	19.093	3,60	3,56	1.324,030	17.998,79	481,600	152,75
Aracati (Município) (230110)	20.404	13.251	3,42	3,35	1.070,160	15.338,19	1.228,060	56,81
Barbalha (Município) (230190)	15.129	10.614	3,70	3,62	767,220	13.710,14	569,510	98,26
Beberibe (Município) (230220)	14.517	6.493	3,43	3,36	633,060	12.700,25	1.623,880	30,70
Boa Viagem (Município) (230240)	15.612	8.360	3,37	3,19	414,980	7.879,32	2.836,780	18,57
Camocim (Município) (230260)	16.162	12.241	3,74	3,67	602,010	9.947,32	1.124,780	53,81
Canindé (Município) (230280)	20.550	13.461	3,64	3,50	651,090	8.698,97	3.218,480	23,26
Cascavel (Município) (230350)	19.373	16.575	3,45	3,42	786,650	11.770,22	835,000	80,04
Caucaia (Município) (230370)	91.808	82.544	3,60	3,57	4.951,540	14.965,88	1.228,510	269,31
Chorozinho (Município) (230395)	5.646	3.472	3,35	3,29	154,920	8.183,65	278,410	68,00
Crateús (Município) (230410)	22.348	16.411	3,26	3,21	687,940	9.429,16	2.985,150	24,44
Crato (Município) (230420)	34.950	29.459	3,51	3,46	1.529,430	12.463,03	1.176,470	104,31
Eusébio (Município) (230428)	13.088	13.106	3,59	3,59	2.405,720	51.152,96	79,010	595,28
Fortaleza (Município) (230440)	731.239	731.239	3,39	3,39	62.431,590	25.208,70	314,930	7.863,93
Granja (Município) (230470)	13.623	7.100	3,83	3,62	303,510	5.811,84	2.663,030	19,61
Guaiúba (Município) (230495)	6.591	5.198	3,70	3,68	170,780	6.995,06	267,130	91,39
Horizonte (Município) (230523)	16.151	15.059	3,52	3,49	1.820,280	32.030,26	160,760	353,50
Icó (Município) (230540)	18.784	9.126	3,50	3,35	511,490	7.787,31	1.872,000	35,09
Iguatu (Município) (230550)	29.654	23.039	3,28	3,27	1.463,790	15.039,34	1.029,210	94,57
Itaitinga (Município) (230625)	9.574	9.517	3,79	3,79	365,550	10.063,64	151,630	239,55
Itapajé (Município) (230630)	13.330	9.512	3,67	3,61	1.078,570	22.052,99	430,570	113,59
Itapipoca (Município) (230640)	30.838	18.430	3,82	3,68	1.210,730	10.284,80	1.614,160	72,93
Juazeiro do Norte (Município) (230730)	71.284	68.766	3,55	3,53	3.733,570	14.766,49	248,830	1.016,11
Limoeiro do Norte (Município) (230760)	17.667	10.423	3,21	3,14	810,440	14.274,92	750,070	75,69
Maracanaú (Município) (230765)	59.619	59.317	3,54	3,54	7.549,910	35.736,36	106,650	1.980,97
Maranguape (Município) (230770)	29.833	23.106	3,87	3,80	1.306,080	11.311,45	590,870	195,41
Morada Nova (Município) (230870)	18.791	10.979	3,29	3,22	658,830	10.645,87	2.778,580	22,27
Pacajus (Município) (230960)	18.118	15.025	3,49	3,45	1.051,660	16.639,63	254,640	248,21
Pacatuba (Município) (230970)	19.272	16.665	3,83	3,81	956,640	12.948,44	131,990	559,73
Pindoretama (Município) (231085)	5.518	3.378	3,44	3,39	166,930	8.799,44	75,140	252,46
Quixadá (Município) (231130)	22.812	16.611	3,57	3,50	943,960	11.590,15	2.019,830	40,32
Quixeramobim (Município) (231140)	21.144	13.107	3,45	3,36	794,760	10.907,15	3.275,630	22,24
Russas (Município) (231180)	21.031	13.829	3,37	3,30	982,420	13.877,18	1.590,260	44,52
São Gonçalo do Amarante (Município) (231240)	12.390	8.129	3,59	3,56	893,280	20.062,08	834,450	53,36
Sobral (Município) (231290)	52.047	46.180	3,66	3,65	4.028,740	21.123,38	2.122,900	89,84
Tauá (Município) (231330)	16.743	10.076	3,35	3,22	516,020	9.211,81	4.018,160	13,94
Tianguá (Município) (231340)	18.774	12.760	3,71	3,63	809,160	11.605,32	908,890	76,71
Trairi (Município) (231350)	13.786	5.224	3,77	3,63	468,610	9.020,01	925,720	56,12
Viçosa do Ceará (Município) (231410)	13.960	4.926	3,99	3,67	371,420	6.669,73	1.311,630	42,46
Açu (Município) (240020)	15.280	11.373	3,51	3,49	913,270	17.027,26	1.303,440	41,15
Caicó (Município) (240200)	19.127	17.627	3,30	3,28	1.010,150	15.996,49	1.228,580	51,40
Ceará-Mirim (Município) (240260)	17.856	9.438	3,84	3,79	731,850	10.671,50	724,380	94,67
Parnamirim (Município) (240325)	61.980	62.032	3,36	3,36	4.474,010	21.465,72	123,470	1.688,06
Extremoz (Município) (240360)	6.687	4.388	3,73	3,65	283,330	11.354,44	139,580	178,78
Macaíba (Município) (240710)	20.016	12.451	3,53	3,48	1.628,630	23.072,73	510,770	138,20
Monte Alegre (Município) (240780)	5.866	2.622	3,55	3,46	167,400	8.038,51	210,920	98,74
Mossoró (Município) (240800)	75.390	69.135	3,49	3,48	7.667,480	29.115,82	2.099,330	125,44
Natal (Município) (240810)	242.601	242.601	3,34	3,34	22.173,630	27.348,52	167,260	4.847,31
Nísia Floresta (Município) (240820)	6.565	2.660	3,68	3,58	281,220	11.645,16	307,840	78,45
São Gonçalo do Amarante (Município) (241200)	25.121	21.413	3,54	3,51	2.138,820	24.019,50	249,120	357,43
São José de Mipibu (Município) (241220)	11.111	5.191	3,61	3,55	700,440	17.445,66	290,330	138,29
Vera Cruz (Município) (241480)	2.863	1.282	3,80	3,72	87,240	8.012,56	83,890	129,79
Alhandra (Município) (250060)	5.131	3.239	3,54	3,47	397,700	21.890,01	182,660	99,46
Bayeux (Município) (250180)	28.556	28.350	3,51	3,50	1.291,870	12.901,00	27,540	3.636,58
Caaporã (Município) (250300)	5.586	4.842	3,67	3,65	504,130	24.579,67	150,170	136,58
Cabedelo (Município) (250320)	17.593	17.621	3,36	3,35	2.497,640	42.258,39	31,920	1.851,92
Cajazeiras (Município) (250370)	17.676	14.526	3,33	3,29	926,940	15.765,97	565,900	103,89
Campina Grande (Município) (250400)	114.403	109.491	3,39	3,37	8.308,180	21.432,49	593,030	653,67
Conde (Município) (250460)	5.930	4.026	3,67	3,66	582,700	26.750,10	172,950	125,95
Cruz do Espírito Santo (Município) (250490)	4.301	2.004	3,76	3,69	133,650	8.271,25	191,100	84,55
Guarabira (Município) (250630)	16.610	14.824	3,35	3,32	820,690	14.745,52	165,740	335,80
João Pessoa (Município) (250750)	220.219	219.526	3,33	3,33	17.970,950	24.511,80	211,480	3.466,86
Lucena (Município) (250860)	3.178	2.792	3,74	3,68	140,930	11.860,79	88,550	134,19
Mamanguape (Município) (250890)	11.830	9.731	3,60	3,54	511,680	12.010,72	340,480	125,12
Patos (Município) (251080)	29.529	28.639	3,43	3,42	1.356,470	13.382,87	473,060	214,26
Pedras de Fogo (Município) (251120)	7.557	4.735	3,62	3,50	500,860	18.286,82	404,880	67,65
Pitimbu (Município) (251190)	4.834	3.047	3,57	3,46	152,710	8.846,63	136,440	126,52
Rio Tinto (Município) (251290)	6.777	4.014	3,40	3,26	246,140	10.688,84	465,670	49,45
Santa Rita (Município) (251370)	34.290	29.845	3,53	3,50	2.128,860	17.569,80	730,210	165,93
Sapé (Município) (251530)	14.359	11.185	3,51	3,42	540,230	10.727,81	315,530	159,60
Sousa (Município) (251620)	19.190	15.207	3,45	3,43	944,620	14.283,05	738,550	89,55
Abreu e Lima (Município) (260005)	28.960	26.707	3,27	3,26	1.427,030	15.046,28	126,190	751,57
Araçoiaba (Município) (260105)	4.988	4.221	3,69	3,66	112,710	6.128,62	96,380	190,81
Araripina (Município) (260110)	21.222	13.414	3,67	3,52	734,300	9.439,01	2.037,390	38,18
Arcoverde (Município) (260120)	20.763	19.080	3,34	3,31	807,050	11.637,99	323,370	214,45
Belo Jardim (Município) (260170)	22.852	18.705	3,18	3,13	1.390,920	19.127,27	647,700	112,27
Bezerros (Município) (260190)	19.843	17.061	2,96	2,92	659,660	11.224,89	490,820	119,73
Brejo da Madre de Deus (Município) (260260)	13.664	10.668	3,35	3,33	291,690	6.379,58	762,350	59,98
Buíque (Município) (260280)	13.516	5.902	3,90	3,63	381,460	7.236,22	1.320,870	39,91
Cabo de Santo Agostinho (Município) (260290)	54.980	50.328	3,40	3,37	8.322,440	44.467,23	448,740	417,08
Camaragibe (Município) (260345)	43.471	43.524	3,35	3,35	1.348,360	9.255,88	51,260	2.842,07
Carpina (Município) (260400)	22.057	21.310	3,43	3,42	1.165,710	15.397,82	147,670	512,69
Caruaru (Município) (260410)	99.125	88.431	3,22	3,21	5.941,260	18.590,83	920,610	347,14
Escada (Município) (260520)	18.654	16.204	3,43	3,35	700,220	10.947,20	342,200	186,92
Garanhuns (Município) (260600)	38.467	34.666	3,39	3,35	2.060,640	15.814,23	458,550	284,16
