Localidade	"Número de moradias permanentes
(habitações) (IBGE)"	"Número de moradias permanentes em áreas urbanas
(habitações) (IBGE)"	"Número de pessoas por moradia
(pessoas por moradia) (IBGE)"	"Número de pessoas por moradia (área urbana)
(pessoas por moradia) (IBGE)"	"PIB, em R$ milhões a preços de 2017
(R$ milhões a preços de 2019) (IBGE)"	"PIB per capita, em R$ a preços de 2017
(R$ por habitante a preços de 2019) (IBGE)"	"Área do município
(km²) (IBGE)"	"Densidade demográfica (pessoas por km²)
(Pessoas por km²) (IBGE)"
Ariquemes (Município) (110002)	35.365	31.286	3,05	2,92	-	-	4.426,570	24,37
Cacoal (Município) (110004)	32.456	27.234	2,63	2,47	-	-	3.792,950	22,50
Jaru (Município) (110011)	21.754	15.749	2,38	2,22	-	-	2.944,130	17,59
Ji-Paraná (Município) (110012)	47.069	45.125	2,74	2,57	-	-	6.896,650	18,70
Porto Velho (Município) (110020)	163.918	148.803	3,23	3,24	-	-	34.090,960	15,53
Rolim de Moura (Município) (110028)	21.095	18.160	2,61	2,48	-	-	1.457,890	37,77
Vilhena (Município) (110030)	30.077	29.853	3,32	3,17	-	-	11.699,150	8,54
Cruzeiro do Sul (Município) (120020)	24.755	18.647	3,57	3,34	-	-	8.779,400	10,07
Rio Branco (Município) (120040)	131.826	114.022	3,09	3,28	-	-	8.834,940	46,10
Careiro da Várzea (Município) (130115)	7.372	367	4,10	3,44	-	-	2.627,470	11,50
Coari (Município) (130120)	19.744	14.872	4,31	3,74	-	-	57.970,770	1,47
Humaitá (Município) (130170)	12.662	9.970	4,35	3,81	-	-	33.111,160	1,66
Iranduba (Município) (130185)	12.709	9.695	3,80	3,54	-	-	2.216,820	21,79
Itacoatiara (Município) (130190)	25.655	18.957	3,95	3,58	-	-	8.891,910	11,40
Manacapuru (Município) (130250)	23.578	18.550	4,13	3,71	-	-	7.336,580	13,27
Manaus (Município) (130260)	657.225	650.444	3,32	3,34	-	-	11.401,090	191,45
Manicoré (Município) (130270)	12.334	6.155	4,52	3,92	-	-	48.315,020	1,15
Maués (Município) (130290)	12.910	7.282	4,95	4,34	-	-	39.991,070	1,60
Novo Airão (Município) (130320)	4.070	2.946	4,78	4,26	-	-	37.805,260	0,51
Parintins (Município) (130340)	27.015	20.598	4,23	3,80	-	-	5.956,370	19,18
Presidente Figueiredo (Município) (130353)	9.255	4.729	3,92	3,67	-	-	25.412,270	1,43
Rio Preto da Eva (Município) (130356)	7.846	4.058	4,25	3,90	-	-	5.815,620	5,73
Tabatinga (Município) (130406)	12.911	10.775	5,10	4,25	-	-	3.266,060	20,16
Tefé (Município) (130420)	15.960	14.427	3,75	3,38	-	-	23.692,220	2,53
Boa Vista (Município) (140010)	105.711	104.323	3,78	3,74	-	-	5.687,040	70,20
Abaetetuba (Município) (150010)	42.621	28.024	3,70	3,31	-	-	1.610,400	97,92
Acará (Município) (150020)	16.020	4.380	3,47	2,99	-	-	4.343,810	12,80
Alenquer (Município) (150040)	16.508	9.744	3,44	3,07	-	-	23.645,450	2,40
Altamira (Município) (150060)	36.729	33.424	3,12	2,91	-	-	159.533,330	0,72
Ananindeua (Município) (150080)	172.272	185.067	3,08	2,86	-	-	190,450	2.786,01
Barcarena (Município) (150130)	34.827	13.329	3,58	3,40	-	-	1.310,590	95,13
Belém (Município) (150140)	462.013	462.013	3,23	3,20	-	-	1.059,460	1.408,97
Benevides (Município) (150150)	19.127	11.328	3,28	3,10	-	-	187,830	334,02
Bragança (Município) (150170)	36.172	25.276	3,53	3,24	-	-	2.091,930	61,04
Breu Branco (Município) (150178)	17.199	10.596	3,84	3,48	-	-	3.941,910	16,75
Breves (Município) (150180)	24.108	14.186	4,26	3,63	-	-	9.563,010	10,74
Cametá (Município) (150210)	32.598	16.244	4,23	3,71	-	-	3.081,370	44,75
Capanema (Município) (150220)	23.009	20.083	3,00	2,74	-	-	614,690	112,30
Capitão Poço (Município) (150230)	17.574	8.310	3,09	2,70	-	-	2.899,550	18,73
Castanhal (Município) (150240)	62.945	59.686	3,19	2,98	-	-	1.028,890	195,16
Dom Eliseu (Município) (150293)	18.097	12.655	3,30	2,99	-	-	5.268,820	11,33
Igarapé-Miri (Município) (150330)	16.370	8.495	3,83	3,33	-	-	1.996,790	31,40
Ipixuna do Pará (Município) (150345)	16.175	4.412	3,96	3,46	-	-	5.215,560	12,28
Itaituba (Município) (150360)	32.451	24.883	3,12	2,95	-	-	62.042,470	1,63
Itupiranga (Município) (150370)	17.073	7.151	3,12	2,98	-	-	7.880,110	6,76
Jacundá (Município) (150380)	17.399	16.494	3,40	3,19	-	-	2.008,320	29,46
Juruti (Município) (150390)	13.290	5.067	4,36	3,85	-	-	8.305,130	6,98
Marabá (Município) (150420)	84.395	72.536	3,31	3,07	-	-	15.128,060	18,47
Marituba (Município) (150442)	38.233	40.421	3,44	3,22	-	-	103,340	1.272,66
Moju (Município) (150470)	21.661	8.703	3,79	3,39	-	-	9.094,140	9,03
Monte Alegre (Município) (150480)	18.600	9.180	3,12	2,80	-	-	18.152,560	3,20
Novo Repartimento (Município) (150506)	21.266	10.363	3,57	3,30	-	-	15.398,720	4,93
Óbidos (Município) (150510)	15.380	8.853	3,39	3,04	-	-	28.021,440	1,86
Oriximiná (Município) (150530)	18.986	13.018	3,85	3,59	-	-	107.603,660	0,68
Paragominas (Município) (150550)	34.495	29.402	3,28	3,01	-	-	19.342,250	5,85
Parauapebas (Município) (150553)	60.721	59.205	3,43	3,17	-	-	6.886,210	30,24
Portel (Município) (150580)	13.371	7.426	4,64	3,98	-	-	25.384,960	2,44
Redenção (Município) (150613)	27.799	27.685	3,05	2,84	-	-	3.823,810	22,17
Rondon do Pará (Município) (150618)	17.280	13.765	3,03	2,81	-	-	8.246,390	6,35
Santa Bárbara do Pará (Município) (150635)	6.236	2.078	3,38	3,23	-	-	278,150	75,78
Santa Izabel do Pará (Município) (150650)	21.262	17.296	3,33	2,96	-	-	717,660	98,66
Santana do Araguaia (Município) (150670)	19.787	10.990	3,68	3,50	-	-	11.591,460	6,28
Santarém (Município) (150680)	95.783	76.674	3,18	2,91	-	-	17.898,390	17,02
São Félix do Xingu (Município) (150730)	32.282	17.385	3,98	3,65	-	-	84.212,850	1,53
São Miguel do Guamá (Município) (150760)	17.400	12.037	3,39	3,03	-	-	1.110,180	53,13
Tailândia (Município) (150795)	23.423	18.526	4,54	4,25	-	-	4.430,220	24,00
Tomé-Açu (Município) (150800)	18.716	11.430	3,39	3,10	-	-	5.145,360	12,33
Tucuruí (Município) (150810)	32.661	33.387	3,48	3,24	-	-	2.086,190	54,48
Ulianópolis (Município) (150812)	12.183	8.837	4,86	4,41	-	-	5.088,470	11,64
Vigia (Município) (150820)	16.219	11.478	3,31	3,16	-	-	539,080	99,59
Viseu (Município) (150830)	16.869	5.945	3,64	3,35	-	-	4.915,070	12,49
Macapá (Município) (160030)	130.081	120.218	3,87	4,01	-	-	6.503,460	77,39
Santana (Município) (160060)	29.966	29.996	4,05	3,96	-	-	1.541,220	78,75
Araguaína (Município) (170210)	58.029	56.757	3,11	3,02	-	-	4.000,420	45,11
Gurupi (Município) (170950)	30.835	31.013	2,81	2,73	-	-	1.836,090	47,19
Paraíso do Tocantins (Município) (171610)	17.858	17.566	2,87	2,79	-	-	1.268,060	40,42
Porto Nacional (Município) (171820)	18.216	16.173	2,91	2,83	-	-	4.449,920	11,91
Palmas (Município) (172100)	100.155	100.155	2,99	2,90	-	-	2.218,940	134,81
Açailândia (Município) (210005)	35.030	27.813	3,21	3,04	-	-	5.806,440	19,37
Alcântara (Município) (210020)	7.542	2.231	2,93	2,90	-	-	1.457,920	15,16
Bacabal (Município) (210120)	32.899	27.696	3,19	2,95	-	-	1.683,070	62,36
Balsas (Município) (210140)	27.583	25.753	3,44	3,21	-	-	13.141,760	7,22
Barra do Corda (Município) (210160)	27.310	18.520	3,23	2,97	-	-	5.190,340	17,00
Barreirinhas (Município) (210170)	15.830	7.152	3,95	3,51	-	-	3.026,540	20,66
Buriticupu (Município) (210232)	19.295	11.473	3,75	3,46	-	-	2.545,440	28,43
Caxias (Município) (210300)	50.732	41.172	3,25	3,06	-	-	5.196,770	31,73
Chapadinha (Município) (210320)	22.507	17.620	3,54	3,26	-	-	3.247,390	24,54
Codó (Município) (210330)	37.006	27.124	3,32	3,11	-	-	4.361,340	28,17
Coroatá (Município) (210360)	20.029	15.233	3,26	2,99	-	-	2.263,770	28,84
Grajaú (Município) (210480)	19.206	12.455	3,62	3,33	-	-	8.863,570	7,84
Imperatriz (Município) (210530)	85.941	86.929	3,01	2,82	-	-	1.368,990	188,96
Itapecuru Mirim (Município) (210540)	20.119	12.047	3,39	3,16	-	-	1.471,440	46,35
Paço do Lumiar (Município) (210750)	35.522	28.719	3,44	3,19	-	-	125,260	975,55
Pinheiro (Município) (210860)	24.598	15.947	3,39	3,11	-	-	1.512,970	55,11
Raposa (Município) (210945)	8.592	5.730	3,58	3,40	-	-	66,400	463,27
Santa Inês (Município) (210990)	25.661	25.870	3,47	3,26	-	-	786,690	113,19
Santa Luzia (Município) (211000)	21.954	8.609	3,31	2,94	-	-	4.837,040	15,02
São José de Ribamar (Município) (211120)	54.339	11.981	3,27	3,43	-	-	385,780	460,60
São Luís (Município) (211130)	327.606	316.028	3,36	3,29	-	-	834,830	1.319,90
Timon (Município) (211220)	51.557	47.572	3,28	3,09	-	-	1.764,610	95,83
Tutóia (Município) (211250)	14.605	5.738	4,03	3,63	-	-	1.651,650	35,64
Vargem Grande (Município) (211270)	14.416	8.745	3,92	3,49	-	-	1.957,750	28,86
Viana (Município) (211280)	15.561	9.111	3,37	3,13	-	-	1.168,440	44,88
Zé Doca (Município) (211400)	15.033	10.262	3,44	3,10	-	-	2.140,110	24,16
Altos (Município) (220040)	12.585	9.047	3,22	3,16	-	-	957,650	42,32
Beneditinos (Município) (220160)	3.261	2.106	3,21	3,14	-	-	788,580	13,27
Coivaras (Município) (220273)	1.237	414	3,25	2,99	-	-	485,500	8,28
Curralinhos (Município) (220325)	1.338	438	3,32	3,23	-	-	345,850	12,85
Demerval Lobão (Município) (220330)	4.606	3.809	3,00	2,97	-	-	216,810	63,73
Floriano (Município) (220390)	19.587	17.190	3,06	3,02	-	-	3.409,650	17,58
José de Freitas (Município) (220550)	11.202	6.658	3,50	3,43	-	-	1.538,170	25,49
Lagoa Alegre (Município) (220555)	2.379	930	3,59	3,49	-	-	394,660	21,64
Lagoa do Piauí (Município) (220558)	1.290	581	3,15	3,03	-	-	426,630	9,53
Miguel Leão (Município) (220630)	402	275	3,10	3,12	-	-	93,520	13,32
Monsenhor Gil (Município) (220640)	3.452	1.834	3,06	2,96	-	-	582,550	18,13
Nazária (Município) (220672)	2.670	557	3,21	3,15	-	-	363,590	23,57
Parnaíba (Município) (220770)	46.956	44.858	3,26	3,22	-	-	434,230	352,53
Pau D'Arco do Piauí (Município) (220779)	1.252	205	3,23	2,92	-	-	430,820	9,39
Picos (Município) (220800)	25.647	20.778	3,05	2,99	-	-	577,300	135,50
Piripiri (Município) (220840)	20.496	15.254	3,11	3,01	-	-	1.408,930	45,24
Teresina (Município) (221100)	271.025	233.344	3,19	3,49	-	-	1.391,980	621,31
União (Município) (221110)	13.122	6.606	3,39	3,31	-	-	1.173,450	37,91
Acaraú (Município) (230020)	18.868	9.636	3,32	3,19	-	-	842,560	74,35
Acopiara (Município) (230030)	19.382	10.293	2,80	2,60	-	-	2.265,350	23,96
Aquiraz (Município) (230100)	25.728	24.309	3,12	3,05	-	-	481,600	166,68
Aracati (Município) (230110)	25.618	16.713	2,91	2,84	-	-	1.228,060	60,70
Barbalha (Município) (230190)	18.994	13.243	3,20	3,10	-	-	569,510	106,73
Beberibe (Município) (230220)	18.160	8.209	2,95	2,86	-	-	1.623,880	32,99
Boa Viagem (Município) (230240)	19.454	10.535	2,80	2,62	-	-	2.836,780	19,20
Camocim (Município) (230260)	20.210	15.443	3,15	3,06	-	-	1.124,780	56,60
Canindé (Município) (230280)	25.245	16.712	3,05	2,90	-	-	3.218,480	23,92
Cascavel (Município) (230350)	24.238	20.932	2,96	2,91	-	-	835,000	85,92
Caucaia (Município) (230370)	113.292	103.297	3,19	3,12	-	-	1.228,510	294,18
Chorozinho (Município) (230395)	7.369	4.568	2,75	2,68	-	-	278,410	72,78
Crateús (Município) (230410)	27.703	20.638	2,71	2,63	-	-	2.985,150	25,15
Crato (Município) (230420)	43.749	37.476	3,02	2,93	-	-	1.176,470	112,30
Eusébio (Município) (230428)	16.549	16.808	3,24	3,19	-	-	79,010	678,67
Fortaleza (Município) (230440)	922.635	922.635	2,89	2,89	-	-	314,930	8.475,99
Granja (Município) (230470)	16.950	8.946	3,23	3,01	-	-	2.663,030	20,56
Guaiúba (Município) (230495)	8.069	6.443	3,23	3,17	-	-	267,130	97,57
Horizonte (Município) (230523)	20.592	19.404	3,27	3,21	-	-	160,760	418,86
Icó (Município) (230540)	23.374	11.469	2,91	2,76	-	-	1.872,000	36,33
Iguatu (Município) (230550)	36.606	28.825	2,80	2,75	-	-	1.029,210	99,59
Itaitinga (Município) (230625)	11.474	11.568	3,31	3,26	-	-	151,630	250,47
Itapajé (Município) (230630)	16.722	12.101	3,15	3,06	-	-	430,570	122,34
Itapipoca (Município) (230640)	38.846	23.450	3,33	3,18	-	-	1.614,160	80,14
Juazeiro do Norte (Município) (230730)	89.610	87.233	3,06	3,02	-	-	248,830	1.101,98
Limoeiro do Norte (Município) (230760)	22.052	13.170	2,70	2,61	-	-	750,070	79,38
Maracanaú (Município) (230765)	75.210	75.190	3,03	3,01	-	-	106,650	2.136,81
Maranguape (Município) (230770)	37.713	29.615	3,42	3,31	-	-	590,870	218,28
Morada Nova (Município) (230870)	23.355	13.789	2,65	2,56	-	-	2.778,580	22,27
Pacajus (Município) (230960)	22.922	19.211	3,15	3,08	-	-	254,640	283,55
Pacatuba (Município) (230970)	24.183	21.076	3,45	3,40	-	-	131,990	632,09
Pindoretama (Município) (231085)	6.810	4.209	3,02	2,95	-	-	75,140	273,72
Quixadá (Município) (231130)	28.576	21.137	3,07	2,96	-	-	2.019,830	43,43
Quixeramobim (Município) (231140)	27.027	17.006	3,00	2,88	-	-	3.275,630	24,75
Russas (Município) (231180)	26.687	17.723	2,93	2,84	-	-	1.590,260	49,17
São Gonçalo do Amarante (Município) (231240)	15.372	10.189	3,15	3,09	-	-	834,450	58,03
Sobral (Município) (231290)	65.703	58.603	3,18	3,15	-	-	2.122,900	98,42
Tauá (Município) (231330)	20.946	12.812	2,81	2,66	-	-	4.018,160	14,65
Tianguá (Município) (231340)	23.586	16.189	3,22	3,12	-	-	908,890	83,56
Trairi (Município) (231350)	17.259	6.610	3,24	3,09	-	-	925,720	60,40
Viçosa do Ceará (Município) (231410)	17.547	6.270	3,47	3,15	-	-	1.311,630	46,42
Açu (Município) (240020)	19.211	14.300	3,02	3,00	-	-	1.303,440	44,51
Caicó (Município) (240200)	24.011	22.238	2,83	2,80	-	-	1.228,580	55,31
Ceará-Mirim (Município) (240260)	22.408	11.926	3,28	3,21	-	-	724,380	101,46
Parnamirim (Município) (240325)	77.818	78.050	3,36	3,35	-	-	123,470	2.117,66
Extremoz (Município) (240360)	8.358	5.542	3,42	3,31	-	-	139,580	204,79
Macaíba (Município) (240710)	25.091	15.690	3,22	3,16	-	-	510,770	158,18
Monte Alegre (Município) (240780)	7.385	3.312	3,04	2,95	-	-	210,920	106,45
Mossoró (Município) (240800)	94.406	87.032	3,15	3,12	-	-	2.099,330	141,65
Natal (Município) (240810)	303.792	303.792	2,91	2,91	-	-	167,260	5.285,79
Nísia Floresta (Município) (240820)	8.239	3.350	3,35	3,25	-	-	307,840	89,66
São Gonçalo do Amarante (Município) (241200)	31.605	26.963	3,24	3,21	-	-	249,120	411,04
São José de Mipibu (Município) (241220)	13.936	6.554	3,15	3,07	-	-	290,330	151,20
Vera Cruz (Município) (241480)	3.576	1.617	3,49	3,38	-	-	83,890	148,78
Alhandra (Município) (250060)	6.199	3.978	3,16	3,05	-	-	182,660	107,24
Bayeux (Município) (250180)	34.113	34.280	2,84	2,80	-	-	27,540	3.518,30
Caaporã (Município) (250300)	6.716	5.915	3,25	3,18	-	-	150,170	145,36
Cabedelo (Município) (250320)	21.641	21.918	3,13	3,09	-	-	31,920	2.122,39
Cajazeiras (Município) (250370)	21.086	17.617	2,94	2,86	-	-	565,900	109,55
Campina Grande (Município) (250400)	136.577	132.851	3,00	2,94	-	-	593,030	690,92
Conde (Município) (250460)	7.256	5.000	3,40	3,34	-	-	172,950	142,64
Cruz do Espírito Santo (Município) (250490)	5.124	2.416	3,38	3,28	-	-	191,100	90,63
Guarabira (Município) (250630)	19.943	18.015	2,95	2,89	-	-	165,740	354,96
João Pessoa (Município) (250750)	272.571	272.571	2,97	2,96	-	-	211,480	3.825,58
Lucena (Município) (250860)	3.847	3.441	3,40	3,29	-	-	88,550	147,71
Mamanguape (Município) (250890)	14.158	11.831	3,17	3,07	-	-	340,480	131,82
Patos (Município) (251080)	35.396	34.774	3,04	2,99	-	-	473,060	227,47
Pedras de Fogo (Município) (251120)	9.034	5.702	3,15	3,02	-	-	404,880	70,29
Pitimbu (Município) (251190)	5.848	3.739	3,26	3,11	-	-	136,440	139,74
Rio Tinto (Município) (251290)	8.059	4.855	3,00	2,83	-	-	465,670	51,92
Santa Rita (Município) (251370)	41.140	36.230	3,32	3,25	-	-	730,210	187,05
Sapé (Município) (251530)	17.198	13.569	3,06	2,95	-	-	315,530	166,78
Sousa (Município) (251620)	22.995	18.435	3,02	2,97	-	-	738,550	94,03
Abreu e Lima (Município) (260005)	36.228	33.847	2,76	2,71	-	-	126,190	792,36
Araçoiaba (Município) (260105)	6.296	5.377	3,26	3,21	-	-	96,380	212,95
Araripina (Município) (260110)	26.547	16.962	3,18	3,02	-	-	2.037,390	41,43
Arcoverde (Município) (260120)	25.992	24.185	2,86	2,80	-	-	323,370	229,89
Belo Jardim (Município) (260170)	28.629	23.636	2,67	2,60	-	-	647,700	118,02
Bezerros (Município) (260190)	24.715	21.567	2,46	2,39	-	-	490,820	123,87
Brejo da Madre de Deus (Município) (260260)	17.201	13.556	2,95	2,91	-	-	762,350	66,56
Buíque (Município) (260280)	17.020	7.515	3,43	3,16	-	-	1.320,870	44,20
Cabo de Santo Agostinho (Município) (260290)	69.247	63.862	2,99	2,94	-	-	448,740	461,40
Camaragibe (Município) (260345)	54.423	55.185	2,90	2,86	-	-	51,260	3.079,15
Carpina (Município) (260400)	27.788	27.017	3,01	2,98	-	-	147,670	566,42
Caruaru (Município) (260410)	125.388	112.892	2,88	2,84	-	-	920,610	392,26
Escada (Município) (260520)	23.427	20.532	2,94	2,85	-	-	342,200	201,27
Garanhuns (Município) (260600)	48.370	43.876	2,89	2,84	-	-	458,550	304,85
Goiana (Município) (260620)	27.598	21.850	2,89	2,80	-	-	445,810	178,91
Gravatá (Município) (260640)	30.242	27.545	2,78	2,73	-	-	506,790	165,90
Igarassu (Município) (260680)	38.493	35.913	3,04	3,00	-	-	305,560	382,97
Ipojuca (Município) (260720)	28.804	22.265	3,34	3,20	-	-	527,110	182,51
Ilha de Itamaracá (Município) (260760)	7.078	6.685	3,71	3,05	-	-	66,680	393,77
Itapissuma (Município) (260775)	8.355	6.963	3,19	2,95	-	-	74,240	359,01
Jaboatão dos Guararapes (Município) (260790)	255.381	252.580	2,75	2,72	-	-	258,690	2.714,78
Limoeiro (Município) (260890)	20.989	17.126	2,68	2,64	-	-	273,740	205,49
Moreno (Município) (260940)	21.355	19.301	2,94	2,88	-	-	196,070	320,21
Olinda (Município) (260960)	145.364	144.099	2,70	2,67	-	-	41,680	9.416,33
Ouricuri (Município) (260990)	21.372	11.572	3,25	3,04	-	-	2.381,580	29,17
Palmares (Município) (261000)	19.953	16.123	3,17	3,09	-	-	339,290	186,42
Paudalho (Município) (261060)	18.346	13.281	3,08	3,01	-	-	274,780	205,64
Paulista (Município) (261070)	117.650	118.069	2,82	2,81	-	-	97,310	3.409,38
Pesqueira (Município) (261090)	23.814	17.767	2,83	2,72	-	-	980,880	68,71
Petrolina (Município) (261110)	104.848	81.111	3,33	3,21	-	-	4.561,870	76,54
Recife (Município) (261160)	592.367	592.367	2,78	2,78	-	-	218,440	7.534,17
Salgueiro (Município) (261220)	19.404	16.021	3,14	3,07	-	-	1.686,810	36,12
Santa Cruz do Capibaribe (Município) (261250)	34.050	33.595	3,17	3,14	-	-	335,310	321,90
São Bento do Una (Município) (261300)	19.072	10.498	3,12	2,97	-	-	719,150	82,74
São Lourenço da Mata (Município) (261370)	39.316	37.367	2,88	2,85	-	-	262,110	432,00
Serra Talhada (Município) (261390)	29.674	23.765	2,91	2,81	-	-	2.980,010	28,98
Surubim (Município) (261450)	22.600	17.432	2,88	2,81	-	-	252,860	257,42
Timbaúba (Município) (261530)	21.209	18.796	2,50	2,43	-	-	292,990	180,97
Vitória de Santo Antão (Município) (261640)	50.827	45.354	2,73	2,67	-	-	335,940	413,04
Arapiraca (Município) (270030)	77.249	65.509	3,00	3,00	-	-	345,660	670,46
Barra de Santo Antônio (Município) (270050)	4.686	4.361	3,40	3,40	-	-	131,630	121,03
Barra de São Miguel (Município) (270060)	2.693	2.349	3,09	3,05	-	-	76,620	108,62
Campo Alegre (Município) (270140)	14.594	6.690	3,91	3,72	-	-	312,710	182,48
Coqueiro Seco (Município) (270220)	2.009	1.814	2,91	2,90	-	-	39,610	147,57
Coruripe (Município) (270230)	17.903	15.863	3,18	3,17	-	-	898,630	63,36
Delmiro Gouveia (Município) (270240)	17.514	12.778	2,97	2,95	-	-	626,690	83,00
Maceió (Município) (270430)	394.333	394.333	2,58	2,58	-	-	509,550	1.999,69
Marechal Deodoro (Município) (270470)	16.321	15.403	3,18	3,18	-	-	332,140	156,26
Messias (Município) (270520)	5.252	4.707	3,40	3,45	-	-	114,160	156,42
Palmeira dos Índios (Município) (270630)	27.018	19.889	2,71	2,70	-	-	450,960	162,36
Paripueira (Município) (270644)	3.797	3.363	3,47	3,47	-	-	92,850	141,90
Penedo (Município) (270670)	21.661	16.318	2,94	2,91	-	-	689,880	92,31
Pilar (Município) (270690)	11.626	11.064	3,02	3,03	-	-	251,070	139,85
Rio Largo (Município) (270770)	24.630	20.254	3,05	3,03	-	-	293,820	255,67
Santa Luzia do Norte (Município) (270790)	2.482	2.223	2,94	2,94	-	-	28,860	252,83
São Miguel dos Campos (Município) (270860)	18.789	18.096	3,26	3,26	-	-	360,880	169,73
Satuba (Município) (270890)	5.065	4.503	2,73	2,69	-	-	41,270	335,08
União dos Palmares (Município) (270930)	22.017	16.996	2,98	2,95	-	-	420,720	155,95
Aracaju (Município) (280030)	230.418	230.418	2,85	2,85	-	-	181,860	3.612,80
Barra dos Coqueiros (Município) (280060)	9.159	7.971	3,32	3,19	-	-	89,600	339,37
Estância (Município) (280210)	24.275	21.948	2,85	2,68	-	-	644,490	107,35
Itabaiana (Município) (280290)	34.575	28.686	2,76	2,59	-	-	337,300	282,92
Lagarto (Município) (280350)	36.763	20.529	2,84	2,62	-	-	968,920	107,76
Nossa Senhora do Socorro (Município) (280480)	60.404	61.991	3,04	2,87	-	-	155,020	1.184,56
São Cristóvão (Município) (280670)	29.825	26.622	3,02	2,86	-	-	438,040	205,63
Tobias Barreto (Município) (280740)	18.774	13.263	2,78	2,64	-	-	1.024,190	50,96
Alagoinhas (Município) (290070)	54.728	47.311	2,77	2,80	-	-	707,560	214,25
Araci (Município) (290210)	17.947	7.254	3,03	2,85	-	-	1.495,550	36,36
Barra (Município) (290270)	15.092	6.966	3,55	3,50	-	-	11.422,540	4,69
Barreiras (Município) (290320)	50.632	44.573	3,07	3,14	-	-	7.861,760	19,77
Bom Jesus da Lapa (Município) (290390)	21.541	14.490	3,21	3,24	-	-	4.115,510	16,80
Brumado (Município) (290460)	24.435	16.886	2,75	2,78	-	-	2.207,610	30,44
Caetité (Município) (290520)	16.823	10.072	3,03	3,03	-	-	2.651,540	19,22
Camaçari (Município) (290570)	96.184	89.809	3,11	3,18	-	-	784,660	381,23
Campo Formoso (Município) (290600)	23.815	9.009	2,99	2,95	-	-	7.161,830	9,94
Candeias (Município) (290650)	32.859	29.363	2,65	2,71	-	-	251,630	346,05
Casa Nova (Município) (290720)	22.420	12.420	3,21	3,35	-	-	9.647,070	7,46
Catu (Município) (290750)	20.038	16.413	2,73	2,79	-	-	433,190	126,28
Conceição do Coité (Município) (290840)	24.311	14.534	2,74	2,68	-	-	1.015,250	65,61
Cruz das Almas (Município) (290980)	22.666	19.021	2,79	2,83	-	-	139,120	454,57
Dias d'Ávila (Município) (291005)	25.825	23.827	3,14	3,20	-	-	184,230	440,15
