"Município";"2007/Out";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Set";"2017/Out";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Mar";"2020/Abr";"Total"
"160010 Amapá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;388,47;-;-;-;-;-;-;-;-;-;-;-;-;3481,04;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4445,03
"160020 Calçoene";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;863,28;287,76;-;-;-;-;-;-;-;-;-;-;287,76;-;2431,32;1151,04;3453,12;4604,16;575,52;287,76;287,76;-;287,76;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;287,76;-;-;287,76;287,76;-;287,76;-;-;-;-;575,52;-;-;4316,40;2014,32;2589,84;2014,32;287,76;-;-;-;863,28;-;-;863,28;863,28;287,76;287,76;-;287,76;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32070,60
"160023 Ferreira Gomes";-;-;-;397,70;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,75;-;-;-;-;-;-;295,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;981,21
"160025 Itaubal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76
"160027 Laranjal do Jari";-;-;261,60;-;-;-;-;-;-;-;-;-;-;488,36;-;-;-;-;-;-;-;-;-;-;568,60;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;287,76;1796,51;-;287,76;-;-;-;-;-;-;-;-;-;613,47;-;287,76;-;288,76;303,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;575,52;4236,80;2939,55;576,52;287,76;575,52;287,76;752,72;-;-;-;575,52;311,76;575,52;287,76;-;327,88;-;-;-;-;-;-;-;-;-;-;-;-;287,76;287,76;-;946,13;-;-;-;-;-;-;-;-;-;-;-;575,52;1868,71;613,47;287,76;-;-;319,76;-;287,76;-;-;-;-;311,76;-;-;-;-;-;-;-;-;-;23856,84
"160030 Macapá";261,60;261,60;6202,26;7540,43;6553,30;3423,83;3792,12;2910,32;4388,66;3480,99;3214,49;1206,27;2964,35;2861,06;5904,99;7512,89;6931,14;4344,37;5610,31;1686,30;1368,02;2698,37;2854,55;826,82;719,43;388,47;439,70;2190,56;3928,27;2202,42;2800,12;2103,92;3827,58;3664,30;3295,75;2663,28;6103,27;3647,60;9110,97;8163,83;8505,80;2893,26;4221,98;1938,84;431,67;2595,45;1583,77;2009,13;2260,45;325,71;287,76;287,76;4126,65;2307,88;1302,98;1324,96;2865,18;4199,42;6735,48;5281,71;3131,28;1109,04;1758,57;2556,98;2107,04;2380,70;1812,76;708,63;365,65;2039,25;946,47;347,94;1527,08;575,52;692,00;608,72;388,47;673,05;-;287,76;-;295,76;676,23;653,59;1041,28;287,76;4262,40;1064,70;4808,93;2334,15;901,23;1645,98;2096,04;1028,79;961,41;1199,32;-;932,16;575,52;287,76;1466,70;-;520,93;710,17;599,72;-;-;287,76;-;388,47;-;2203,95;951,09;287,76;835,76;-;-;-;287,76;614,88;1289,70;-;493,86;287,76;575,51;-;775,48;548,13;-;311,76;714,18;-;799,07;-;-;-;-;-;-;623,52;837,47;-;661,46;265677,12
"160040 Mazagão";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;311,76;-;-;-;-;-;-;-;-;-;-;-;-;-;663,52;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;327,76;-;-;-;-;-;-;-;-;-;-;-;-;287,76;368,00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;334,46;-;-;-;-;-;-;-;-;-;-;-;3156,54
"160050 Oiapoque";-;-;-;-;-;-;277,60;-;261,60;261,60;261,60;261,60;1646,82;-;287,76;-;287,76;-;-;-;-;-;-;-;-;-;287,76;863,28;575,52;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;287,76;-;-;-;-;-;-;-;-;575,52;-;-;-;-;-;888,45;-;287,76;-;287,76;287,76;-;-;1438,80;1438,80;575,52;863,28;2014,32;-;-;287,76;-;388,47;-;-;439,70;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1438,80;649,80;649,80;-;287,76;324,90;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;19548,90
"160015 Pedra Branca do Amapari";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;368,00;-;-;-;428,17;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1659,45
"160053 Porto Grande";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;599,52;639,52;-;-;-;287,76;-;-;-;-;-;-;615,52;-;-;-;287,76;287,76;-;-;575,52;863,28;2014,32;3920,10;2302,08;863,28;1151,04;1438,80;863,28;-;-;287,76;287,76;-;287,76;-;-;-;-;287,76;-;287,76;863,28;-;863,28;287,76;1478,80;887,28;1183,04;1191,04;-;-;583,52;-;-;-;-;-;-;-;335,76;-;1183,04;607,52;583,52;295,76;295,76;-;311,76;-;607,52;287,76;3045,60;2454,32;863,28;5003,92;2038,32;2709,83;575,52;303,76;295,76;-;303,76;-;-;-;-;-;-;319,76;1838,56;311,76;-;287,76;287,76;311,76;-;-;599,52;-;287,76;295,76;-;-;-;-;311,76;-;-;-;-;287,76;-;-;-;287,76;-;311,76;287,76;-;-;887,28;-;-;-;-;-;54503,29
"160060 Santana";-;2494,50;1320,65;2471,26;342,60;848,45;488,55;1515,10;556,20;580,20;774,18;-;-;-;715,76;1151,04;327,76;5458,11;327,76;287,76;287,76;-;599,52;319,76;607,52;-;-;-;3926,56;-;1243,10;1310,98;1888,89;1924,51;607,52;1409,70;2860,24;1591,00;1772,51;1564,87;2807,69;1764,51;614,47;576,52;1260,99;1564,75;287,76;987,18;21120,23;-;287,76;-;-;575,52;-;287,76;987,99;3609,46;1828,51;1478,80;1287,04;287,76;287,76;615,52;287,76;1175,24;-;287,76;-;-;-;-;575,52;615,46;287,76;921,40;636,23;287,76;1988,51;319,76;335,76;375,76;303,76;311,76;-;287,76;-;817,24;631,52;888,28;887,28;319,76;863,28;1195,90;287,76;-;319,76;311,76;303,76;306,44;1542,80;-;-;607,52;591,52;631,52;-;-;-;303,76;-;287,76;-;334,46;-;-;287,76;-;-;-;591,52;-;-;-;-;287,76;287,76;-;-;-;287,76;-;-;-;-;436,43;287,76;327,76;327,76;-;-;-;287,76;107932,37
"160005 Serra do Navio";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76
"160070 Tartarugalzinho";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;295,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;295,76
"160080 Vitória do Jari";-;-;-;-;-;-;-;-;-;-;2921,80;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;288,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3498,32
"Total";261,60;2756,10;7784,51;10409,39;6895,90;4272,28;4558,27;4425,42;5206,46;4322,79;7172,07;1467,87;4611,17;3349,42;6908,51;8663,93;9009,46;10729,76;5938,07;2261,82;1655,78;2986,13;3454,07;1146,58;1895,55;388,47;727,46;3053,84;9333,63;2490,18;6474,54;4565,94;9457,35;10480,73;4478,79;4360,74;10114,55;6490,35;13185,56;14512,08;15987,60;5808,81;6275,25;4265,92;2555,94;4160,20;1871,53;3284,07;23668,44;325,71;4344,32;287,76;4740,12;2883,40;1590,74;2188,24;4429,69;9351,68;9427,27;6760,51;5649,60;1684,56;3525,13;4347,54;4006,01;5322,50;1812,76;1284,15;949,17;2327,01;946,47;1236,39;2102,60;1766,50;979,76;2433,40;2511,50;5485,37;6111,10;3518,12;2645,84;2406,07;2426,79;3732,39;1928,56;575,52;5157,68;7061,62;11784,12;9210,11;4953,87;7697,12;5325,52;5223,28;1824,69;2366,36;911,28;1243,92;2046,32;1457,48;3297,26;287,76;520,93;1605,45;1191,24;1239,04;2701,84;599,52;946,13;979,99;287,76;4530,03;1600,89;1272,02;1435,28;287,76;900,42;295,76;287,76;614,88;2744,50;2156,47;1419,09;575,52;575,51;287,76;1383,00;835,89;287,76;311,76;1001,94;622,22;799,07;623,52;287,76;436,43;287,76;1215,04;327,76;623,52;837,47;287,76;949,22;518200,95