"Município";"2011/Fev";"2015/Dez";"2016/Jan";"2016/Abr";"2016/Set";"2016/Out";"2016/Nov";"2017/Mar";"2017/Out";"2018/Mar";"Total"
"210043 Alto Alegre do Maranhão";-;-;-;-;206,45;-;396,90;428,90;-;-;1032,25
"210275 Capinzal do Norte";-;-;-;-;-;-;190,45;-;-;-;190,45
"210300 Caxias";-;-;174,45;174,45;-;-;-;-;-;-;348,90
"210670 Mirador";-;-;-;-;-;-;-;-;190,45;-;190,45
"210720 Nina Rodrigues";-;270,38;-;-;-;-;-;-;-;-;270,38
"210820 Pedreiras";-;-;-;-;-;198,45;-;-;-;-;198,45
"210845 Peritoró";-;-;-;-;-;-;198,45;-;-;-;198,45
"210975 Santa Filomena do Maranhão";-;-;-;-;-;-;-;-;-;174,45;174,45
"210980 Santa Helena";182,45;-;-;-;-;-;-;-;-;-;182,45
"211107 São João do Soter";-;-;-;388,90;-;-;-;-;-;-;388,90
"211150 São Mateus do Maranhão";-;-;-;-;214,45;-;198,45;-;-;-;412,90
"Total";182,45;270,38;174,45;563,35;420,90;198,45;984,25;428,90;190,45;174,45;3588,03