Estado,AreaKm2,Ano,Desmatado,Incremento,Floresta,NaoFloresta,Hidrografia,PercDesmatado,Internações - Dengue,Internações Ano Seguinte - Dengue
AC,170884,2008,20340.399999999998,299.2,146878.30000000002,74.4,117.6,5.204492486796752,150.0,652.0
AM,1492410,2008,31428.099999999984,603.1000000000001,1274007.4000000001,46233.69999999998,47160.400000000016,2.6897394787817666,881.0,220.0
AP,135836,2008,2543.0,91.9,74302.99999999999,22983.399999999998,3413.7000000000003,0.4630607782905335,166.0,133.0
MA,263942,2008,102533.90000000001,1258.2000000000005,27844.999999999996,112558.60000000006,4078.8999999999996,92.93852988880164,2094.0,1464.0
MT,904265,2008,204731.39999999997,3449.5,314643.5,377464.7999999999,4315.599999999999,43.4108173618894,745.0,4619.0
PA,1245956,2008,238891.7000000001,5655.000000000002,825713.1999999997,73465.00000000001,43907.1,63.19733119141018,7269.0,4487.0
RO,238601,2008,82893.80000000003,1105.3999999999999,127532.69999999997,24614.699999999997,1807.1000000000001,27.871186767076523,1076.0,4130.0
RR,226216,2008,9181.400000000001,674.2999999999998,128697.5,61222.00000000001,1723.1999999999998,1.0509723749432192,951.0,754.0
TO,271812,2008,28270.199999999986,103.10000000000001,9192.600000000004,231751.7999999999,1483.5999999999997,29.14443573984422,1195.0,946.0
AC,170884,2009,20508.499999999996,168.29999999999998,132696.8,74.4,117.6,5.2411479689922915,652.0,754.0
AM,1492410,2009,31763.0,335.3,1298932.6,46233.69999999998,47160.400000000016,2.7117173294324695,220.0,701.0
AP,135836,2009,2587.1000000000004,43.80000000000001,83322.70000000001,22983.399999999998,3413.7000000000003,0.4681453147302136,133.0,205.0
MA,263942,2009,103495.49999999997,962.4000000000005,37352.4,112558.60000000006,4078.8999999999996,93.5918966371457,1464.0,2537.0
MT,904265,2009,205560.3000000001,829.2000000000004,313549.70000000007,377464.7999999999,4315.599999999999,43.54561934325724,4619.0,3804.0
PA,1245956,2009,242456.80000000016,3566.4999999999973,810363.6000000001,73465.00000000001,43907.1,63.60469177040042,4487.0,7393.0
RO,238601,2009,83325.10000000003,431.29999999999995,126534.79999999999,24614.699999999997,1807.1000000000001,27.95637637914254,4130.0,4423.0
RR,226216,2009,9294.099999999999,112.59999999999998,123315.00000000001,61222.00000000001,1723.1999999999998,1.0634126412497935,754.0,1188.0
TO,271812,2009,28328.099999999995,58.40000000000002,9535.8,231751.7999999999,1483.5999999999997,29.204609215638317,946.0,1224.0
AC,170884,2010,20784.400000000005,276.2,147864.50000000003,74.4,117.6,5.288637075698995,754.0,455.0
AM,1492410,2010,32281.299999999985,518.2,1168231.7,46233.69999999998,47160.400000000016,2.7516430696846017,701.0,1853.0
AP,135836,2010,2649.4,62.50000000000001,67673.3,22983.399999999998,3413.7000000000003,0.47859630346041104,205.0,229.0
MA,263942,2010,104072.59999999998,577.9,31692.80000000001,112558.60000000006,4078.8999999999996,93.95014600491871,2537.0,4269.0
MT,904265,2010,206339.20000000007,780.1999999999998,310559.4000000001,377464.7999999999,4315.599999999999,43.6656719973219,3804.0,988.0
PA,1245956,2010,245778.89999999997,3321.9,770385.7000000001,73465.00000000001,43907.1,64.05449757932023,7393.0,7785.0
RO,238601,2010,83765.99999999999,441.0000000000001,127303.00000000001,24614.699999999997,1807.1000000000001,28.0265170559154,4423.0,2078.0
RR,226216,2010,9533.4,239.29999999999998,90103.4,61222.00000000001,1723.1999999999998,1.0864734226764785,1188.0,234.0
TO,271812,2010,28382.3,54.400000000000006,9709.999999999998,231751.7999999999,1483.5999999999997,29.245958631976002,1224.0,1037.0
AC,170884,2011,21092.999999999996,308.69999999999993,146757.80000000002,74.4,117.6,5.349508601705822,455.0,225.0
AM,1492410,2011,32782.299999999996,501.1000000000002,1249310.7999999996,46233.69999999998,47160.400000000016,2.783005514726082,1853.0,230.0
AP,135836,2011,2664.9,15.399999999999997,62762.100000000006,22983.399999999998,3413.7000000000003,0.480980430602303,229.0,147.0
MA,263942,2011,104408.40000000007,336.49999999999994,34315.200000000004,112558.60000000006,4078.8999999999996,94.17329037321537,4269.0,3136.0
MT,904265,2011,207407.10000000003,1067.8000000000002,313975.79999999993,377464.7999999999,4315.599999999999,43.82327510865451,988.0,2766.0
PA,1245956,2011,248192.29999999993,2414.000000000001,791860.9,73465.00000000001,43907.1,64.33645111658339,7785.0,5526.0
RO,238601,2011,84545.00000000001,779.2,127228.59999999999,24614.699999999997,1807.1000000000001,28.13939098286049,2078.0,1505.0
RR,226216,2011,9663.9,130.5,121690.49999999999,61222.00000000001,1723.1999999999998,1.0981066923637308,234.0,293.0
TO,271812,2011,28416.49999999999,34.50000000000001,9673.1,231751.7999999999,1483.5999999999997,29.281248914132817,1037.0,1053.0
AC,170884,2012,21374.000000000004,280.90000000000003,148047.09999999998,74.4,117.6,5.401465569651687,225.0,248.0
AM,1492410,2012,33252.899999999994,471.1000000000001,1253493.5999999999,46233.69999999998,47160.400000000016,2.8038698700568,230.0,486.0
AP,135836,2012,2683.7000000000003,18.900000000000002,70888.29999999999,22983.399999999998,3413.7000000000003,0.48339526081739503,147.0,87.0
MA,263942,2012,104716.30000000003,309.00000000000017,29733.3,112558.60000000006,4078.8999999999996,94.39225588847019,3136.0,2326.0
MT,904265,2012,208201.4000000001,794.8,313327.0999999999,377464.7999999999,4315.599999999999,43.93565681349805,2766.0,1769.0
PA,1245956,2012,249903.1,1711.6999999999998,783341.8000000002,73465.00000000001,43907.1,64.49457908760583,5526.0,3902.0
RO,238601,2012,85249.40000000004,704.6999999999999,126672.4,24614.699999999997,1807.1000000000001,28.25857727333225,1505.0,2832.0
RR,226216,2012,9772.199999999999,108.29999999999998,115920.0,61222.00000000001,1723.1999999999998,1.1078144598717792,293.0,68.0
TO,271812,2012,28463.59999999999,47.40000000000001,9529.800000000003,231751.7999999999,1483.5999999999997,29.311010760480976,1053.0,1073.0
AC,170884,2013,21581.999999999996,208.20000000000002,142143.8,74.4,117.6,5.441203944074819,248.0,670.0
AM,1492410,2013,33733.7,481.1,1064435.5,46233.69999999998,47160.400000000016,2.82313697679294,486.0,201.0
AP,135836,2013,2704.9999999999995,21.400000000000002,50308.7,22983.399999999998,3413.7000000000003,0.48596803651597514,87.0,112.0
MA,263942,2013,104998.50000000001,283.39999999999986,24467.19999999999,112558.60000000006,4078.8999999999996,94.58590691192298,2326.0,1888.0
MT,904265,2013,209306.10000000006,1106.3000000000006,311862.8999999999,377464.7999999999,4315.599999999999,44.08942495059827,1769.0,521.0
PA,1245956,2013,251987.3,2085.2000000000003,687512.5,73465.00000000001,43907.1,64.69694317659788,3902.0,1872.0
RO,238601,2013,86228.8,979.5,125193.4,24614.699999999997,1807.1000000000001,28.40903731658324,2832.0,1362.0
RR,226216,2013,9921.300000000001,149.1,96082.0,61222.00000000001,1723.1999999999998,1.12240326868305,68.0,0.0
TO,271812,2013,28540.40000000001,77.2,9483.7,231751.7999999999,1483.5999999999997,29.349700010354663,1073.0,726.0
AC,170884,2014,21938.999999999996,357.3,146756.90000000002,74.4,117.6,5.507541654418304,670.0,351.0
AM,1492410,2014,34273.69999999999,540.5,1185147.5,46233.69999999998,47160.400000000016,2.8501333289302253,201.0,319.0
AP,135836,2014,2730.9,26.2,69037.90000000001,22983.399999999998,3413.7000000000003,0.4892440192573675,112.0,191.0
MA,263942,2014,105277.09999999999,278.5999999999999,29392.199999999993,112558.60000000006,4078.8999999999996,94.79304994954383,1888.0,2848.0
MT,904265,2014,210410.20000000004,1104.2,310590.0000000001,377464.7999999999,4315.599999999999,44.23032141123032,521.0,902.0
PA,1245956,2014,253767.19999999998,1782.7000000000005,750617.1000000001,73465.00000000001,43907.1,64.8538298192526,1872.0,2294.0
RO,238601,2014,86999.39999999998,770.8000000000003,124012.79999999997,24614.699999999997,1807.1000000000001,28.534364185877816,1362.0,1252.0
RR,226216,2014,10111.999999999998,190.9,113286.6,61222.00000000001,1723.1999999999998,1.1378212186474386,0.0,122.0
TO,271812,2014,28585.400000000012,45.100000000000016,9512.800000000001,231751.7999999999,1483.5999999999997,29.387170147436766,726.0,483.0
AC,170884,2015,22169.2,230.2,145548.2,74.4,117.6,5.556181260990933,351.0,109.0
AM,1492410,2015,34957.8,683.9000000000001,1281195.7000000002,46233.69999999998,47160.400000000016,2.8797806229248355,319.0,261.0
AP,135836,2015,2748.6,17.799999999999997,63504.39999999999,22983.399999999998,3413.7000000000003,0.4916400301007398,191.0,0.0
MA,263942,2015,105490.00000000004,213.39999999999995,37110.50000000003,112558.60000000006,4078.8999999999996,94.9427487013471,2848.0,3649.0
MT,904265,2015,211902.60000000006,1491.9000000000003,310565.5000000001,377464.7999999999,4315.599999999999,44.42006333914875,902.0,681.0
PA,1245956,2015,256070.9,2303.299999999999,794021.7000000002,73465.00000000001,43907.1,65.09610332866085,2294.0,3029.0
RO,238601,2015,87970.39999999998,971.2,122604.19999999998,24614.699999999997,1807.1000000000001,28.691503383135796,1252.0,1469.0
RR,226216,2015,10267.599999999999,155.59999999999997,123072.6,61222.00000000001,1723.1999999999998,1.1515155961015562,122.0,41.0
TO,271812,2015,28639.90000000001,54.70000000000001,9883.300000000005,231751.7999999999,1483.5999999999997,29.42731156301178,483.0,393.0
AC,170884,2016,22548.699999999997,379.49999999999994,144377.49999999997,74.4,117.6,5.632157346327995,109.0,79.0
AM,1492410,2016,35963.99999999999,1006.4000000000002,1130829.3000000003,46233.69999999998,47160.400000000016,2.9128726158453175,261.0,112.0
AP,135836,2016,2759.4,11.000000000000002,41606.399999999994,22983.399999999998,3413.7000000000003,0.49344418349030095,0.0,0.0
MA,263942,2016,105735.10000000003,244.79999999999995,33871.2,112558.60000000006,4078.8999999999996,95.10464000514024,3649.0,1579.0
MT,904265,2016,213286.00000000003,1383.8000000000006,308762.2999999998,377464.7999999999,4315.599999999999,44.57668872524722,681.0,363.0
PA,1245956,2016,258803.4999999999,2732.7999999999993,715362.8000000002,73465.00000000001,43907.1,65.32496105535448,3029.0,2170.0
RO,238601,2016,89170.2,1199.5999999999997,122865.60000000003,24614.699999999997,1807.1000000000001,28.90946530086422,1469.0,587.0
RR,226216,2016,10497.700000000003,230.19999999999996,109436.00000000001,61222.00000000001,1723.1999999999998,1.1708124809274827,41.0,0.0
TO,271812,2016,28691.499999999993,52.00000000000002,9440.699999999999,231751.7999999999,1483.5999999999997,29.461943699962486,393.0,299.0
AC,170884,2017,22812.100000000002,263.8,146435.19999999998,74.4,117.6,5.68070380168856,79.0,207.0
AM,1492410,2017,36988.49999999998,1024.6,1257686.6,46233.69999999998,47160.400000000016,2.9490684418434716,112.0,59.0
AP,135836,2017,2777.9999999999995,18.4,49191.9,22983.399999999998,3413.7000000000003,0.4960303092303968,0.0,36.0
MA,263942,2017,106019.50000000003,284.2999999999999,37462.70000000001,112558.60000000006,4078.8999999999996,95.32550766301487,1579.0,392.0
MT,904265,2017,214900.3,1614.2000000000007,307184.4,377464.7999999999,4315.599999999999,44.80747680762295,363.0,387.0
PA,1245956,2017,261403.40000000002,2599.8,761838.4999999997,73465.00000000001,43907.1,65.60744495483696,2170.0,827.0
RO,238601,2017,90477.00000000001,1307.3999999999999,121702.19999999998,24614.699999999997,1807.1000000000001,29.145263669662626,587.0,338.0
RR,226216,2017,10624.699999999999,126.99999999999999,78893.4,61222.00000000001,1723.1999999999998,1.180928581568701,0.0,0.0
TO,271812,2017,28725.2,34.00000000000001,9871.600000000002,231751.7999999999,1483.5999999999997,29.48274889647129,299.0,164.0
AC,170884,2018,23294.699999999997,482.59999999999997,113395.49999999999,74.4,117.6,5.763434647827595,207.0,277.0
AM,1492410,2018,38062.49999999999,1074.1000000000001,1168643.7,46233.69999999998,47160.400000000016,2.983867885123833,59.0,142.0
AP,135836,2018,2802.6000000000004,24.599999999999994,65076.59999999999,22983.399999999998,3413.7000000000003,0.5003078967344682,36.0,0.0
MA,263942,2018,106210.40000000002,191.09999999999994,21258.69999999999,112558.60000000006,4078.8999999999996,95.469142794029,392.0,1642.0
MT,904265,2018,216390.69999999998,1491.0,299068.2,377464.7999999999,4315.599999999999,44.997540510942166,387.0,735.0
PA,1245956,2018,264100.39999999997,2697.0999999999985,683907.9999999999,73465.00000000001,43907.1,65.83858641307428,827.0,1080.0
RO,238601,2018,91726.99999999997,1249.5999999999995,120058.40000000001,24614.699999999997,1807.1000000000001,29.353224709950343,338.0,429.0
RR,226216,2018,10756.300000000001,131.79999999999998,41480.5,61222.00000000001,1723.1999999999998,1.1910814773133491,0.0,123.0
TO,271812,2018,28748.1,23.099999999999998,9803.1,231751.7999999999,1483.5999999999997,29.505978407596732,164.0,569.0
AC,170884,2019,24033.1,737.9,146563.9,74.4,117.6,5.891296372566219,277.0,
AM,1492410,2019,39639.5,1577.1000000000006,1289308.1000000003,46233.69999999998,47160.400000000016,3.039844112721861,142.0,
AP,135836,2019,2839.3,37.0,91533.9,22983.399999999998,3413.7000000000003,0.5047949861032508,0.0,
MA,263942,2019,106494.00000000007,283.80000000000007,39372.39999999998,112558.60000000006,4078.8999999999996,95.66842854619155,1642.0,
MT,904265,2019,218295.20000000004,1905.0,304178.39999999985,377464.7999999999,4315.599999999999,45.23371338847085,735.0,
PA,1245956,2019,268567.2,4466.199999999999,838232.8999999994,73465.00000000001,43907.1,66.18837297045408,1080.0,
RO,238601,2019,93156.89999999998,1429.8000000000002,119022.30000000002,24614.699999999997,1807.1000000000001,29.615068274094888,429.0,
RR,226216,2019,11311.099999999997,554.8000000000002,143764.0,61222.00000000001,1723.1999999999998,1.2344944113370875,123.0,
TO,271812,2019,28778.899999999998,30.9,9817.900000000003,231751.7999999999,1483.5999999999997,29.547436446216604,569.0,
