Municipio,CodIbge,Estado,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Mata Roma,210640,MA,1.0,3.0,1.0,0.0,3.0,4.0,2.0,1.0,11.0,2.0,0.0,26.0
Matinha,210650,MA,0.0,0.0,2.0,23.0,2.0,0.0,0.0,2.0,6.0,0.0,0.0,1.0
Matões,210660,MA,83.0,40.0,98.0,91.0,17.0,38.0,21.0,71.0,35.0,8.0,2.0,4.0
Matões do Norte,210663,MA,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0
Milagres do Maranhão,210667,MA,1.0,0.0,5.0,16.0,3.0,2.0,4.0,2.0,2.0,1.0,0.0,0.0
Mirador,210670,MA,60.0,46.0,3.0,6.0,11.0,1.0,5.0,19.0,18.0,23.0,3.0,3.0
Miranda do Norte,210675,MA,15.0,0.0,1.0,15.0,32.0,3.0,0.0,1.0,5.0,0.0,0.0,0.0
Mirinzal,210680,MA,0.0,0.0,1.0,17.0,13.0,0.0,0.0,11.0,3.0,1.0,0.0,0.0
Monção,210690,MA,4.0,5.0,0.0,2.0,40.0,2.0,16.0,13.0,58.0,0.0,2.0,3.0
Montes Altos,210700,MA,10.0,5.0,0.0,2.0,0.0,3.0,5.0,1.0,1.0,26.0,2.0,1.0
Morros,210710,MA,2.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Nina Rodrigues,210720,MA,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0
Nova Colinas,210725,MA,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,25.0,11.0,0.0,4.0
Nova Iorque,210730,MA,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0
Nova Olinda do Maranhão,210735,MA,0.0,3.0,2.0,11.0,21.0,5.0,25.0,122.0,39.0,1.0,4.0,40.0
Olho d'Água das Cunhãs,210740,MA,2.0,2.0,0.0,8.0,22.0,11.0,0.0,1.0,2.0,0.0,0.0,1.0
Olinda Nova do Maranhão,210745,MA,0.0,0.0,1.0,1.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0
Paço do Lumiar,210750,MA,4.0,1.0,31.0,42.0,14.0,6.0,3.0,2.0,5.0,0.0,0.0,4.0
Palmeirândia,210760,MA,1.0,3.0,1.0,6.0,7.0,3.0,1.0,6.0,4.0,4.0,1.0,1.0
Paraibano,210770,MA,22.0,36.0,38.0,46.0,38.0,27.0,8.0,59.0,62.0,47.0,0.0,28.0
Parnarama,210780,MA,0.0,3.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,1.0,1.0,2.0
Passagem Franca,210790,MA,66.0,56.0,31.0,30.0,58.0,55.0,33.0,87.0,114.0,31.0,3.0,8.0
Pastos Bons,210800,MA,8.0,2.0,15.0,15.0,8.0,3.0,3.0,32.0,14.0,51.0,2.0,3.0
Paulino Neves,210805,MA,1.0,1.0,1.0,2.0,34.0,16.0,14.0,13.0,13.0,6.0,3.0,7.0
Paulo Ramos,210810,MA,8.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0
Pedreiras,210820,MA,2.0,80.0,221.0,252.0,346.0,63.0,76.0,57.0,36.0,16.0,3.0,18.0
Pedro do Rosário,210825,MA,0.0,6.0,13.0,34.0,29.0,12.0,25.0,45.0,9.0,10.0,1.0,0.0
Penalva,210830,MA,0.0,0.0,3.0,4.0,1.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0
Peri Mirim,210840,MA,4.0,8.0,7.0,10.0,4.0,19.0,21.0,72.0,2.0,13.0,2.0,0.0
Peritoró,210845,MA,1.0,1.0,2.0,7.0,1.0,2.0,1.0,3.0,0.0,0.0,1.0,3.0
Pindaré-Mirim,210850,MA,7.0,2.0,3.0,35.0,3.0,9.0,4.0,10.0,17.0,9.0,1.0,2.0
Pinheiro,210860,MA,6.0,3.0,7.0,12.0,5.0,4.0,21.0,42.0,14.0,17.0,7.0,4.0
Pio XII,210870,MA,4.0,1.0,2.0,29.0,39.0,17.0,23.0,31.0,18.0,9.0,6.0,3.0
Pirapemas,210880,MA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0
Poção de Pedras,210890,MA,45.0,4.0,4.0,63.0,31.0,4.0,2.0,14.0,17.0,5.0,1.0,37.0
Porto Franco,210900,MA,98.0,37.0,4.0,42.0,40.0,31.0,9.0,15.0,34.0,32.0,6.0,12.0
Porto Rico do Maranhão,210905,MA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Presidente Dutra,210910,MA,66.0,74.0,59.0,88.0,7.0,10.0,1.0,3.0,10.0,3.0,2.0,38.0
Presidente Juscelino,210920,MA,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0
Presidente Médici,210923,MA,61.0,58.0,155.0,45.0,36.0,162.0,37.0,59.0,25.0,5.0,9.0,2.0
Presidente Sarney,210927,MA,1.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,4.0,2.0,0.0
Presidente Vargas,210930,MA,2.0,1.0,4.0,23.0,18.0,39.0,8.0,23.0,56.0,11.0,11.0,0.0
Primeira Cruz,210940,MA,6.0,9.0,4.0,12.0,0.0,4.0,1.0,0.0,17.0,5.0,0.0,0.0
Raposa,210945,MA,16.0,6.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
Riachão,210950,MA,40.0,24.0,52.0,66.0,81.0,42.0,10.0,15.0,51.0,54.0,21.0,14.0
Ribamar Fiquene,210955,MA,6.0,1.0,3.0,0.0,1.0,2.0,0.0,2.0,13.0,0.0,1.0,3.0
Rosário,210960,MA,9.0,1.0,2.0,0.0,0.0,3.0,3.0,17.0,7.0,0.0,0.0,12.0
Sambaíba,210970,MA,0.0,15.0,2.0,1.0,14.0,0.0,0.0,25.0,69.0,12.0,0.0,2.0
Santa Filomena do Maranhão,210975,MA,35.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Santa Helena,210980,MA,34.0,2.0,104.0,122.0,102.0,18.0,12.0,57.0,15.0,1.0,2.0,18.0
Santa Inês,210990,MA,10.0,5.0,15.0,98.0,62.0,7.0,7.0,13.0,9.0,6.0,1.0,13.0
Santa Luzia,211000,MA,18.0,47.0,17.0,10.0,1.0,10.0,2.0,9.0,12.0,2.0,0.0,3.0
Santa Luzia do Paruá,211003,MA,67.0,29.0,10.0,101.0,83.0,94.0,92.0,62.0,32.0,0.0,0.0,1.0
Santa Quitéria do Maranhão,211010,MA,69.0,46.0,60.0,39.0,18.0,1.0,109.0,49.0,11.0,0.0,0.0,0.0
Santa Rita,211020,MA,4.0,0.0,2.0,7.0,19.0,1.0,2.0,5.0,2.0,0.0,0.0,0.0
Santana do Maranhão,211023,MA,4.0,2.0,4.0,4.0,2.0,3.0,14.0,25.0,13.0,1.0,0.0,0.0
Santo Amaro do Maranhão,211027,MA,3.0,1.0,0.0,0.0,0.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0
Santo Antônio dos Lopes,211030,MA,79.0,43.0,0.0,5.0,6.0,3.0,17.0,23.0,26.0,1.0,0.0,1.0
São Benedito do Rio Preto,211040,MA,0.0,1.0,1.0,1.0,1.0,62.0,147.0,2.0,3.0,2.0,1.0,0.0
São Bento,211050,MA,0.0,0.0,1.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0
São Bernardo,211060,MA,20.0,42.0,68.0,89.0,39.0,53.0,167.0,30.0,90.0,6.0,1.0,3.0
São Domingos do Azeitão,211065,MA,1.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,2.0,4.0,0.0,1.0
São Domingos do Maranhão,211070,MA,34.0,10.0,1.0,5.0,0.0,4.0,12.0,13.0,83.0,2.0,1.0,9.0
São Félix de Balsas,211080,MA,0.0,3.0,0.0,2.0,22.0,17.0,5.0,13.0,0.0,42.0,0.0,0.0
São Francisco do Brejão,211085,MA,2.0,2.0,3.0,61.0,42.0,59.0,26.0,55.0,48.0,22.0,1.0,1.0
São Francisco do Maranhão,211090,MA,40.0,5.0,9.0,24.0,30.0,10.0,16.0,9.0,2.0,5.0,9.0,45.0
São João Batista,211100,MA,1.0,0.0,1.0,10.0,7.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0
São João do Carú,211102,MA,6.0,23.0,2.0,0.0,1.0,0.0,17.0,29.0,21.0,1.0,0.0,0.0
São João do Paraíso,211105,MA,6.0,2.0,0.0,9.0,3.0,1.0,0.0,6.0,10.0,11.0,16.0,2.0
São João do Soter,211107,MA,1.0,1.0,1.0,0.0,0.0,23.0,8.0,24.0,41.0,33.0,4.0,4.0
São João dos Patos,211110,MA,33.0,94.0,128.0,71.0,29.0,38.0,10.0,13.0,7.0,30.0,4.0,17.0
São José de Ribamar,211120,MA,23.0,6.0,34.0,33.0,11.0,9.0,9.0,11.0,9.0,6.0,1.0,2.0
São José dos Basílios,211125,MA,0.0,0.0,60.0,51.0,22.0,1.0,1.0,11.0,16.0,0.0,0.0,40.0
São Luís,211130,MA,126.0,74.0,486.0,294.0,81.0,87.0,95.0,81.0,70.0,14.0,5.0,31.0
São Luís Gonzaga do Maranhão,211140,MA,72.0,11.0,25.0,11.0,8.0,23.0,14.0,49.0,17.0,1.0,0.0,84.0
São Mateus do Maranhão,211150,MA,9.0,5.0,17.0,25.0,10.0,27.0,35.0,54.0,33.0,2.0,0.0,2.0
São Pedro da Água Branca,211153,MA,32.0,6.0,5.0,6.0,3.0,3.0,5.0,1.0,1.0,0.0,0.0,36.0
São Pedro dos Crentes,211157,MA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,74.0
São Raimundo das Mangabeiras,211160,MA,1.0,4.0,1.0,1.0,37.0,51.0,18.0,22.0,40.0,15.0,1.0,0.0
São Raimundo do Doca Bezerra,211163,MA,0.0,1.0,0.0,1.0,0.0,0.0,0.0,41.0,0.0,3.0,2.0,0.0
São Roberto,211167,MA,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
São Vicente Ferrer,211170,MA,0.0,10.0,25.0,29.0,16.0,27.0,5.0,8.0,14.0,2.0,0.0,1.0
Satubinha,211172,MA,0.0,18.0,15.0,24.0,12.0,6.0,5.0,5.0,33.0,11.0,3.0,1.0
Senador Alexandre Costa,211174,MA,2.0,0.0,0.0,0.0,1.0,7.0,4.0,14.0,39.0,3.0,1.0,2.0
Senador La Rocque,211176,MA,6.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0
Serrano do Maranhão,211178,MA,0.0,0.0,1.0,3.0,1.0,0.0,0.0,13.0,23.0,9.0,4.0,0.0
Sítio Novo,211180,MA,1.0,19.0,5.0,42.0,36.0,0.0,12.0,16.0,50.0,34.0,16.0,122.0
Sucupira do Norte,211190,MA,0.0,1.0,1.0,4.0,3.0,5.0,1.0,11.0,7.0,1.0,0.0,4.0
Sucupira do Riachão,211195,MA,2.0,2.0,11.0,6.0,47.0,14.0,2.0,10.0,27.0,4.0,1.0,14.0
Tasso Fragoso,211200,MA,2.0,1.0,7.0,12.0,0.0,1.0,0.0,4.0,4.0,10.0,3.0,3.0
Timbiras,211210,MA,45.0,1.0,20.0,170.0,10.0,3.0,2.0,5.0,13.0,7.0,0.0,2.0
Timon,211220,MA,52.0,22.0,66.0,60.0,47.0,63.0,75.0,71.0,142.0,130.0,3.0,10.0
Trizidela do Vale,211223,MA,7.0,37.0,54.0,100.0,137.0,27.0,65.0,25.0,70.0,24.0,6.0,13.0
Tufilândia,211227,MA,1.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,9.0,3.0,1.0,2.0
Tuntum,211230,MA,8.0,41.0,4.0,8.0,3.0,2.0,1.0,1.0,6.0,3.0,0.0,17.0
Turiaçu,211240,MA,8.0,2.0,114.0,269.0,173.0,193.0,100.0,179.0,256.0,37.0,0.0,0.0
Turilândia,211245,MA,1.0,0.0,3.0,5.0,0.0,3.0,2.0,3.0,1.0,0.0,0.0,1.0
Tutóia,211250,MA,30.0,33.0,56.0,162.0,112.0,30.0,9.0,16.0,52.0,8.0,2.0,6.0
Urbano Santos,211260,MA,2.0,0.0,1.0,3.0,9.0,24.0,6.0,21.0,18.0,6.0,0.0,1.0
Vargem Grande,211270,MA,6.0,0.0,1.0,3.0,3.0,9.0,0.0,18.0,37.0,8.0,1.0,4.0
Viana,211280,MA,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
Vila Nova dos Martírios,211285,MA,0.0,13.0,43.0,49.0,47.0,30.0,18.0,1.0,3.0,52.0,0.0,0.0
Vitória do Mearim,211290,MA,0.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Vitorino Freire,211300,MA,41.0,21.0,54.0,61.0,28.0,5.0,19.0,2.0,2.0,6.0,6.0,3.0
Zé Doca,211400,MA,1.0,13.0,5.0,10.0,10.0,14.0,8.0,27.0,37.0,5.0,4.0,8.0
Acorizal,510010,MT,0.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Alta Floresta,510025,MT,15.0,4.0,11.0,2.0,6.0,63.0,13.0,22.0,11.0,17.0,13.0,9.0
Alto Araguaia,510030,MT,5.0,5.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,13.0
Alto Boa Vista,510035,MT,16.0,1.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Alto Garças,510040,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Alto Paraguai,510050,MT,0.0,2.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Alto Taquari,510060,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
Apiacás,510080,MT,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Araguaiana,510100,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Araguainha,510120,MT,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Araputanga,510125,MT,1.0,20.0,32.0,2.0,18.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0
Arenápolis,510130,MT,9.0,45.0,24.0,3.0,74.0,7.0,0.0,3.0,2.0,0.0,0.0,0.0
Aripuanã,510140,MT,38.0,184.0,71.0,83.0,134.0,43.0,36.0,74.0,57.0,28.0,25.0,30.0
Barra do Bugres,510170,MT,9.0,59.0,32.0,1.0,34.0,12.0,5.0,3.0,2.0,3.0,1.0,10.0
Barra do Garças,510180,MT,2.0,17.0,37.0,0.0,3.0,4.0,0.0,2.0,1.0,1.0,6.0,8.0
Barão de Melgaço,510160,MT,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bom Jesus do Araguaia,510185,MT,2.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Brasnorte,510190,MT,10.0,9.0,3.0,11.0,21.0,17.0,5.0,28.0,11.0,7.0,24.0,4.0
Campinápolis,510260,MT,9.0,14.0,35.0,8.0,33.0,17.0,5.0,6.0,2.0,3.0,4.0,9.0
Campo Novo do Parecis,510263,MT,40.0,43.0,25.0,8.0,20.0,35.0,8.0,22.0,8.0,8.0,7.0,2.0
Campo Verde,510267,MT,3.0,45.0,77.0,22.0,55.0,26.0,5.0,11.0,18.0,7.0,3.0,4.0
Campos de Júlio,510268,MT,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,10.0
Canabrava do Norte,510269,MT,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
Canarana,510270,MT,1.0,6.0,10.0,1.0,3.0,4.0,0.0,1.0,1.0,1.0,5.0,14.0
Carlinda,510279,MT,0.0,0.0,0.0,0.0,16.0,22.0,5.0,6.0,0.0,1.0,0.0,0.0
Castanheira,510285,MT,1.0,3.0,2.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Chapada dos Guimarães,510300,MT,5.0,1.0,22.0,6.0,8.0,7.0,4.0,0.0,1.0,0.0,0.0,0.0
Cláudia,510305,MT,0.0,6.0,20.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Cocalinho,510310,MT,0.0,1.0,1.0,0.0,1.0,1.0,0.0,13.0,4.0,1.0,3.0,25.0
Colniza,510325,MT,0.0,2.0,5.0,8.0,5.0,13.0,29.0,16.0,7.0,1.0,16.0,68.0
Colíder,510320,MT,8.0,53.0,17.0,4.0,4.0,35.0,2.0,23.0,10.0,1.0,1.0,1.0
Comodoro,510330,MT,4.0,6.0,56.0,44.0,131.0,153.0,43.0,44.0,21.0,14.0,13.0,19.0
Confresa,510335,MT,1.0,38.0,1.0,3.0,1.0,3.0,0.0,4.0,2.0,1.0,13.0,39.0
Conquista D'Oeste,510336,MT,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cotriguaçu,510337,MT,0.0,1.0,9.0,0.0,0.0,6.0,4.0,33.0,78.0,0.0,2.0,14.0
Cuiabá,510340,MT,23.0,470.0,497.0,84.0,419.0,88.0,49.0,60.0,10.0,10.0,9.0,5.0
Curvelândia,510343,MT,0.0,6.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Cáceres,510250,MT,4.0,162.0,54.0,3.0,24.0,19.0,5.0,4.0,2.0,3.0,4.0,1.0
Denise,510345,MT,0.0,13.0,4.0,1.0,3.0,2.0,1.0,16.0,2.0,0.0,0.0,0.0
Diamantino,510350,MT,2.0,37.0,25.0,3.0,24.0,12.0,1.0,2.0,2.0,2.0,1.0,1.0
Dom Aquino,510360,MT,0.0,6.0,11.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Feliz Natal,510370,MT,0.0,3.0,9.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0
Figueirópolis D'Oeste,510380,MT,1.0,2.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Gaúcha do Norte,510385,MT,10.0,34.0,24.0,27.0,18.0,6.0,0.0,0.0,0.0,0.0,3.0,2.0
General Carneiro,510390,MT,1.0,15.0,40.0,14.0,0.0,3.0,9.0,7.0,8.0,0.0,0.0,6.0
Glória D'Oeste,510395,MT,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Guarantã do Norte,510410,MT,0.0,14.0,8.0,4.0,2.0,8.0,0.0,2.0,12.0,1.0,0.0,1.0
Guiratinga,0,MT,,,,,,,,,,,,
Indiavaí,510450,MT,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ipiranga do Norte,510452,MT,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Itanhangá,510454,MT,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Itaúba,510455,MT,39.0,75.0,18.0,11.0,25.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
Itiquira,510460,MT,0.0,1.0,76.0,1.0,0.0,2.0,0.0,4.0,7.0,0.0,1.0,44.0
Jaciara,510480,MT,1.0,63.0,50.0,0.0,19.0,7.0,2.0,5.0,2.0,3.0,0.0,3.0
Jangada,510490,MT,0.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
Jauru,510500,MT,23.0,75.0,107.0,58.0,53.0,51.0,1.0,0.0,0.0,0.0,0.0,0.0
Juara,510510,MT,4.0,1.0,52.0,51.0,49.0,8.0,1.0,1.0,11.0,2.0,0.0,2.0
Juruena,510517,MT,0.0,19.0,42.0,5.0,7.0,3.0,0.0,2.0,12.0,0.0,0.0,0.0
Juscimeira,510520,MT,5.0,74.0,47.0,12.0,45.0,32.0,0.0,5.0,4.0,74.0,3.0,1.0
Juína,510515,MT,28.0,73.0,94.0,21.0,35.0,12.0,7.0,8.0,26.0,11.0,5.0,4.0
Lambari D'Oeste,510523,MT,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucas do Rio Verde,510525,MT,34.0,93.0,64.0,5.0,17.0,9.0,2.0,20.0,9.0,1.0,0.0,17.0
Luciara,510530,MT,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcelândia,510558,MT,82.0,20.0,100.0,16.0,24.0,26.0,4.0,2.0,2.0,1.0,1.0,0.0
Matupá,510560,MT,4.0,9.0,2.0,0.0,1.0,1.0,2.0,9.0,2.0,0.0,0.0,0.0
Mirassol d'Oeste,510562,MT,0.0,24.0,41.0,1.0,1.0,21.0,0.0,0.0,0.0,0.0,2.0,1.0
Nobres,510590,MT,3.0,51.0,39.0,2.0,31.0,16.0,1.0,0.0,1.0,0.0,0.0,4.0
Nortelândia,510600,MT,1.0,68.0,23.0,3.0,20.0,4.0,4.0,0.0,1.0,0.0,2.0,3.0
Nossa Senhora do Livramento,510610,MT,4.0,77.0,63.0,12.0,25.0,9.0,4.0,2.0,0.0,0.0,3.0,1.0
Nova Bandeirantes,510615,MT,0.0,1.0,3.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0
Nova Brasilândia,510620,MT,0.0,101.0,68.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nova Canaã do Norte,510621,MT,0.0,1.0,1.0,0.0,0.0,4.0,2.0,2.0,1.0,1.0,0.0,0.0
Nova Guarita,510880,MT,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0
Nova Lacerda,510618,MT,1.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0
Nova Marilândia,510885,MT,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nova Maringá,510890,MT,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nova Monte Verde,510895,MT,0.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0
Nova Mutum,510622,MT,2.0,113.0,16.0,1.0,2.0,17.0,4.0,2.0,7.0,1.0,0.0,3.0
Nova Nazaré,510617,MT,0.0,1.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Nova Olímpia,510623,MT,0.0,28.0,8.0,0.0,14.0,21.0,5.0,8.0,10.0,3.0,11.0,36.0
Nova Santa Helena,510619,MT,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0
Nova Ubiratã,510624,MT,0.0,5.0,3.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0
Nova Xavantina,510625,MT,6.0,1.0,15.0,5.0,5.0,2.0,2.0,6.0,14.0,3.0,1.0,12.0
Novo Horizonte do Norte,510627,MT,0.0,0.0,2.0,0.0,12.0,1.0,0.0,7.0,4.0,0.0,0.0,0.0
Novo Mundo,510626,MT,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0
Novo Santo Antônio,510631,MT,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Novo São Joaquim,510628,MT,4.0,100.0,0.0,2.0,6.0,1.0,1.0,4.0,2.0,0.0,0.0,2.0
Paranatinga,510630,MT,2.0,53.0,10.0,22.0,98.0,27.0,1.0,23.0,7.0,4.0,13.0,10.0
Paranaíta,510629,MT,1.0,0.0,25.0,0.0,49.0,77.0,25.0,27.0,3.0,8.0,7.0,3.0
Pedra Preta,510637,MT,0.0,31.0,10.0,6.0,4.0,1.0,1.0,6.0,0.0,1.0,1.0,1.0
Peixoto de Azevedo,510642,MT,3.0,6.0,5.0,2.0,4.0,3.0,1.0,5.0,14.0,3.0,0.0,1.0
