Estado,Ano,População total que mora em domicílios sem acesso ao serviço de coleta de esgoto (pessoas) (SNIS),"Extensão da rede de distribuição de esgoto, em km (km) (SNIS)",Densidade demográfica (pessoas por km²) (Pessoas por km²) (IBGE),AreaKm2,Desmatado,Incremento,Floresta,NaoFloresta,Hidrografia,PercDesmatado,Internações - Dengue,Internações Ano Seguinte - Dengue
AC,2010,346545.0,231.0,46.98,18315,3504.8999999999996,44.0,14558.1,20.7,0.1,0.38356198263475133,377.0,206.0
AC,2011,353473.0,231.0,47.760000000000005,18315,3561.5,56.599999999999994,14376.1,20.7,0.1,0.3897593052316906,206.0,53.0
AC,2012,345283.0,324.88,48.519999999999996,18315,3600.2999999999997,38.8,14659.5,20.7,0.1,0.39400623979925264,53.0,41.0
AC,2013,365525.0,438.97,49.59,18315,3625.8,25.5,14106.2,20.7,0.1,0.3967987090435662,41.0,560.0
AC,2014,367610.0,467.27,50.41,18315,3671.8999999999996,46.099999999999994,14343.599999999999,20.7,0.1,0.4018455295991098,560.0,268.0
AC,2015,368521.0,533.47,51.23,18315,3706.5,34.7,14308.0,20.7,0.1,0.4056388010822031,268.0,29.0
AC,2016,376166.0,533.47,52.03,18315,3769.3999999999996,63.0,14495.900000000001,20.7,0.1,0.41253115839182375,29.0,22.0
AC,2017,383055.0,534.32,52.81,18315,3806.4,37.0,14218.2,20.7,0.1,0.41658089132909315,22.0,29.0
AC,2018,406650.0,546.27,55.4,18315,3861.6000000000004,55.2,14144.4,20.7,0.1,0.42261885611010236,29.0,122.0
AC,2019,319120.0,548.34,56.17,18315,3970.4,108.8,14295.2,20.7,0.1,0.4345300377808507,122.0,0.0
AM,2010,1946050.0,437.58,253.47999999999996,316693,12200.6,191.60000000000002,238984.29999999993,12953.199999999999,19084.6,1.277200996886914,618.0,1738.0
AM,2011,1794911.0,420.45,257.53000000000003,316693,12357.100000000002,156.4,265314.39999999997,12953.199999999999,19084.6,1.291014467217985,1738.0,215.0
AM,2012,1972009.0,489.7,261.5,316693,12470.0,113.1,258613.0,12953.199999999999,19084.6,1.2975761453949997,215.0,446.0
AM,2013,2202433.0,497.73,278.09000000000003,316693,12567.9,97.8,230664.69999999998,12953.199999999999,19084.6,1.3032734991832742,446.0,165.0
AM,2014,2266370.0,498.62,283.22999999999996,316693,12681.399999999998,113.8,241876.10000000003,12953.199999999999,19084.6,1.312063246990011,165.0,229.0
AM,2015,2237071.0,499.64,288.28,316693,12818.9,136.99999999999997,269318.4,12953.199999999999,19084.6,1.3225845341479934,229.0,226.0
AM,2016,2313260.0,524.41,293.22999999999996,316693,13010.6,191.60000000000002,238310.49999999997,12953.199999999999,19084.6,1.3334242246827048,226.0,76.0
AM,2017,2326084.0,579.2,298.05,316693,13222.1,211.99999999999997,259362.59999999995,12953.199999999999,19084.6,1.3445755584867785,76.0,44.0
AM,2018,2046671.0,550.51,299.82,316693,13395.1,173.09999999999997,246646.40000000002,12953.199999999999,19084.6,1.3524300067287496,44.0,53.0
AM,2019,1748423.0,579.11,304.83,316693,13655.600000000002,260.4,256699.2,12953.199999999999,19084.6,1.3675867192948707,53.0,0.0
MA,2010,2090290.0,1360.95,4869.689999999999,68023,33472.5,272.0,8177.9,23132.999999999996,1518.8999999999999,12.263773099727858,773.0,879.0
MA,2011,2031092.0,1380.2699999999998,4942.429999999999,68023,33601.69999999999,129.4,7780.899999999999,23132.999999999996,1518.8999999999999,12.302468841508919,879.0,371.0
MA,2012,2208700.0,1389.8799999999999,5011.36,68023,33706.8,105.39999999999996,7820.2,23132.999999999996,1518.8999999999999,12.342448308814188,371.0,295.0
MA,2013,2232756.0,1434.4099999999999,5157.78,68023,33783.200000000004,76.4,6640.4,23132.999999999996,1518.8999999999999,12.370222712079194,295.0,280.0
MA,2014,2117740.0,1466.6599999999999,5224.73,68023,33876.7,93.39999999999998,7872.700000000001,23132.999999999996,1518.8999999999999,12.407663637418393,280.0,535.0
MA,2015,2216335.0,1600.24,5287.39,68023,33924.2,47.900000000000006,8637.800000000001,23132.999999999996,1518.8999999999999,12.429088758179493,535.0,647.0
MA,2016,2117422.0,1680.0099999999998,5347.45,68023,33998.49999999999,73.89999999999999,8268.499999999998,23132.999999999996,1518.8999999999999,12.448929008994284,647.0,175.0
MA,2017,1955387.0,1495.19,5411.869999999999,68023,34071.799999999996,73.40000000000002,9086.000000000004,23132.999999999996,1518.8999999999999,12.470964134920235,175.0,48.0
MA,2018,2077161.0,1912.27,5400.179999999999,68023,34123.5,51.900000000000006,6368.000000000001,23132.999999999996,1518.8999999999999,12.48684724182644,48.0,203.0
MA,2019,1400359.0,1923.81,5449.56,68023,34198.399999999994,74.7,8990.2,23132.999999999996,1518.8999999999999,12.509583645614132,203.0,0.0
MT,2010,1193042.0,1466.78,551.85,151303,22009.7,20.2,14469.999999999998,112374.3,2230.9,3.190920662367408,1723.0,250.0
MT,2011,1191961.0,1378.1399999999999,558.87,151303,22030.5,20.599999999999998,14524.7,112374.3,2230.9,3.19446576094626,250.0,1171.0
MT,2012,1264907.0,1377.25,565.6400000000001,151303,22052.3,21.8,14533.400000000003,112374.3,2230.9,3.19852158890698,1171.0,459.0
MT,2013,1142672.0,1499.74,577.1999999999999,151303,22090.3,38.2,14465.400000000001,112374.3,2230.9,3.205778433651655,459.0,155.0
MT,2014,1131673.0,1999.2700000000002,584.5699999999999,151303,22112.000000000004,21.999999999999996,14464.4,112374.3,2230.9,3.208447421358813,155.0,279.0
MT,2015,1085803.0,2170.74,591.5999999999999,151303,22149.400000000005,37.199999999999996,14548.9,112374.3,2230.9,3.21414075347048,279.0,104.0
MT,2016,1062735.0,2598.0600000000004,598.75,151303,22176.200000000008,27.000000000000004,14455.9,112374.3,2230.9,3.2175919042228984,104.0,99.0
MT,2017,990449.0,2819.2000000000007,605.47,151303,22211.300000000003,34.800000000000004,14487.000000000002,112374.3,2230.9,3.222434090753413,99.0,121.0
MT,2018,955403.0,3134.66,623.0999999999999,151303,22262.1,51.00000000000001,14368.899999999998,112374.3,2230.9,3.2331653655879817,121.0,116.0
MT,2019,872058.0,3442.8200000000006,630.4200000000001,151303,22362.3,100.60000000000001,14331.699999999999,112374.3,2230.9,3.2547891382233094,116.0,0.0
PA,2010,4909716.0,648.56,6289.289999999998,727861,133599.7,1915.1999999999998,485351.5,27010.5,21587.300000000003,20.257955204231834,4184.0,4859.0
PA,2011,4863252.0,419.71,6379.430000000005,727861,134845.30000000005,1245.8000000000002,500379.79999999993,27010.5,21587.300000000003,20.350727088800316,4859.0,3202.0
PA,2012,5051539.0,691.46,6465.099999999999,727861,135876.99999999994,1031.8000000000002,490831.0999999999,27010.5,21587.300000000003,20.42055790285375,3202.0,1860.0
PA,2013,5137121.0,512.46,6619.09,727861,137232.59999999998,1355.4999999999998,438886.5999999999,27010.5,21587.300000000003,20.501286041505097,1860.0,1033.0
PA,2014,5068262.0,893.06,6707.669999999999,727861,138310.09999999998,1077.3999999999999,475914.1,27010.5,21587.300000000003,20.554227991793454,1033.0,1185.0
PA,2015,5124559.0,674.76,6793.620000000003,727861,139499.80000000002,1189.7,507036.4000000002,27010.5,21587.300000000003,20.629171751865602,1185.0,1738.0
PA,2016,5086752.0,1445.2899999999997,6876.599999999999,727861,141249.1,1749.0,461698.7000000001,27010.5,21587.300000000003,20.717872539472456,1738.0,725.0
PA,2017,5280431.0,1014.25,6956.379999999999,727861,142552.7,1303.7,486932.79999999993,27010.5,21587.300000000003,20.79872305406768,725.0,367.0
PA,2018,5566028.0,1097.6299999999999,7073.839999999998,727861,144086.99999999997,1534.5000000000002,425295.80000000005,27010.5,21587.300000000003,20.880924563860077,367.0,385.0
PA,2019,3230490.0,1107.1299999999999,7149.879999999999,727861,146331.59999999995,2244.5,519051.1000000001,27010.5,21587.300000000003,20.978510041227263,385.0,0.0
RO,2010,855963.0,188.0,161.79,66734,22426.4,151.3,41069.1,2348.6,793.9,4.739069912154131,1739.0,517.0
RO,2011,861582.0,210.7,162.82999999999998,66734,22769.500000000004,343.2,40759.899999999994,2348.6,793.9,4.753006347421444,517.0,471.0
RO,2012,874166.0,230.17000000000002,163.83999999999997,66734,22989.100000000002,219.60000000000002,40560.2,2348.6,793.9,4.764106136766594,471.0,1104.0
RO,2013,952874.0,255.17000000000002,176.07999999999998,66734,23330.9,341.80000000000007,40197.5,2348.6,793.9,4.778644308573201,1104.0,605.0
RO,2014,970116.0,255.17000000000002,177.66,66734,23581.600000000002,250.9,39800.2,2348.6,793.9,4.791824366341626,605.0,526.0
RO,2015,972557.0,263.06,179.17999999999998,66734,23902.899999999998,321.3,39019.8,2348.6,793.9,4.8057257309509875,526.0,621.0
RO,2016,987869.0,291.36,180.66,66734,24258.500000000007,355.70000000000005,39319.799999999996,2348.6,793.9,4.824101190426025,621.0,188.0
RO,2017,995098.0,307.23,182.07999999999998,66734,24665.0,406.40000000000003,38926.5,2348.6,793.9,4.8470530463256125,188.0,109.0
RO,2018,978319.0,307.23,176.84,66734,25100.4,435.50000000000006,38441.8,2348.6,793.9,4.86854235014825,109.0,114.0
RO,2019,654343.0,195.48000000000002,178.26,66734,25599.9,499.40000000000003,37991.600000000006,2348.6,793.9,4.918300083362769,114.0,0.0
TO,2010,708313.0,1379.1,6475.379999999999,17956,2788.0,2.0,455.2,14603.6,110.99999999999999,0.9737205196221901,212.0,231.0
TO,2011,713755.0,1424.36,6521.870000000001,17956,2789.6,1.5,453.40000000000003,14603.6,110.99999999999999,0.9746338367331446,231.0,275.0
TO,2012,698339.0,1353.36,6566.78,17956,2791.7999999999997,2.3,451.40000000000003,14603.6,110.99999999999999,0.9769844650340263,275.0,143.0
TO,2013,759782.0,1440.71,6820.52,17956,2802.0,10.2,441.20000000000005,14603.6,110.99999999999999,0.979522409796405,143.0,85.0
TO,2014,720976.0,1444.47,6874.31,17956,2802.6,0.6000000000000001,440.90000000000003,14603.6,110.99999999999999,0.9809597209863319,85.0,91.0
TO,2015,663975.0,1934.73,6916.780000000001,17956,2805.2,2.6,439.2,14603.6,110.99999999999999,0.9828946684041762,91.0,72.0
TO,2016,656048.0,2233.07,6957.17,17956,2807.3,2.1,437.1,14603.6,110.99999999999999,0.9841899986364204,72.0,85.0
TO,2017,597752.0,2368.21,6995.43,17956,2808.2000000000003,0.9,436.2,14603.6,110.99999999999999,0.9844139349389833,85.0,79.0
TO,2018,582076.0,2466.8499999999995,7093.43,17956,2808.4,0.2,436.0,14603.6,110.99999999999999,0.984463698561775,79.0,330.0
TO,2019,572099.0,2825.67,7148.469999999999,17956,2810.6,2.2,433.79999999999995,14603.6,110.99999999999999,0.9852687024767945,330.0,0.0
